,Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
769,18655 NW Sauvie Island Rd,899000,3,3,2888,7280,Sauvie Island Academy,Sauvie Island Academy,53,1992
770,9334 N Tyler Ave,172900,2,1,879,1550,James John Elementary School,George Middle School,146,1905
771,408 NE 76th Ave,559950,4,2,2242,6188,Vestal Elementary School,Roseway Heights School,92,1906
772,3368 SW Fairmount Blvd,645000,3,2,2626,9541,Rieke Elementary School,Gray Middle School,96,1923
773,310 NW Maywood Dr,995000,4,3,3348,18108,Chapman Elementary School,West Sylvan Middle School,9,1929
774,14804 NW Red Cedar Ct,1125000,4,4,4645,17315,Skyline Elementary School,Skyline Elementary School,9,2017
775,11728 SW Summerville Ave,1980000,6,6,7667,37408,Riverdale Grade School,Riverdale Grade School,14,1979
776,7623 SE 110th Ave,490000,6,2,3225,6727,Gilbert Park Elementary School,Alice Ott Middle School,74,1990
777,7504 SE 28th Ave,639000,4,2,2469,9681,Duniway Elementary School,Sellwood Middle School,16,1928
778,800 NW Powhatan Ter,1499900,4,4,5425,22292,Chapman Elementary School,West Sylvan Middle School,9,1956
779,5109 SE 46th Ave,624900,8,4,5021,8414,Woodstock Elementary School,Hosford Middle School,16,1952
780,1380 SW Carson St,824900,5,2,2668,3941,Capitol Hill Elementary School,Jackson Middle School,96,1944
781,1368 SW Carson St,874900,5,3,2950,3941,Capitol Hill Elementary School,Jackson Middle School,96,1944
782,2393 SW Park Pl ,499000,2,2,1092,8214,Ainsworth Elementary School,West Sylvan Middle School,9,1964
783,2646 NW Cornell Rd,1475000,4,4,5331,22479,Chapman Elementary School,West Sylvan Middle School,9,1909
784,4318 SW Fairview Circus,2200000,4,3,4817,41459,Ainsworth Elementary School,West Sylvan Middle School,9,1965
785,2972 SW Champlain Dr,677000,3,2,2140,10731,Ainsworth Elementary School,West Sylvan Middle School,9,1924
786,1111 SE 144th Ave,329900,4,2,1796,3602,Parklane Elementary School,Centennial Middle School,68,1950
787,1011 NW Glisan St ,1450000,2,2,2474,7008,Chapman Elementary School,West Sylvan Middle School,9,1905
788,22505 NW Gillihan Rd,899000,5,3,3855,9426,Sauvie Island Academy,Sauvie Island Academy,53,1975
789,6440 SW Parkhill Way,849900,3,2,3215,13153,Rieke Elementary School,Gray Middle School,96,1937
790,10615 SW 42nd Ave,775000,3,2,3660,11213,Markham Elementary School,Jackson Middle School,96,1963
791,4077 SW Kanan Dr,799000,5,4,3035,10293,Hayhurst Elementary School,Gray Middle School,96,1995
792,23586 NW Saint Helens Rd ,315000,2,2,1100,4356,Grant Watts Elementary School,Scappoose Middle School,53,1997
793,6248 N Concord Ave,799000,6,4,2966,10839,Chief Joseph/Ockley Green School,Ockley Green School,146,2017
794,1816 NE Saratoga St,599900,6,2,3592,5509,Faubion Elementary School,Faubion Elementary School,92,1949
795,1525 NE Marine Dr,2998000,5,5,6310,36571,Faubion Elementary School,Faubion Elementary School,146,2005
796,2405 SE 156th Ave,469900,4,2,1936,4874,Parklane Elementary School,Centennial Middle School,68,1961
797,1436 SE 148th Ave,255000,3,1,976,2222,Parklane Elementary School,Centennial Middle School,68,1938
798,785 NE Jessup St,739000,4,3,2667,7562,King Elementary School,Harriet Tubman Middle School,21,1890
799,2424 SW Montgomery Dr,4985000,7,5,14335,83454,Ainsworth Elementary School,West Sylvan Middle School,9,1918
800,13616 NW Glendoveer Dr,1899000,4,4,7038,29831,Skyline Elementary School,Skyline Elementary School,9,1999
801,1903 SE 29th Ave,1175000,4,3,2740,11233,Abernethy Elementary School,Hosford Middle School,16,1915
802,23586 NW St. Helens Rd,359000,2,2,1300,4356,Grant Watts Elementary School,Scappoose Middle School,53,1997
803,11355 SW Northgate Ct,1775000,5,5,6772,30145,Riverdale Grade School,Riverdale Grade School,14,1991
804,2323 SW Park Pl ,230000,2,2,1210,298407,Ainsworth Elementary School,West Sylvan Middle School,9,1960
805,3932 SE 16th Ave,338500,3,2,1230,5366,Grout Elementary School,Hosford Middle School,16,1995
806,3932 SE Gladstone St,449900,2,1,1782,4288,Grout Elementary School,Hosford Middle School,16,1909
807,12113 SE Foster Rd,825000,5,2,4848,0,Earl Boyles Elementary,Ron Russell Middle School,74,1930
808,11010 SW Tryon Ave,1599000,4,4,4644,15674,Riverdale Grade School,Riverdale Grade School,14,1994
809,905 N Harbour Dr ,499000,4,4,2664,8026,Faubion Elementary School,Faubion Elementary School,146,2000
810,4341 NE 92nd Ave,360000,3,2,1919,4280,Russell Elementary,Parkrose Middle School,51,1925
811,7704 NW Skyline Blvd,399000,2,1,936,4738,Skyline Elementary School,Skyline Elementary School,9,1941
812,1610 NW Mayfield Rd,650000,3,2,2306,9789,Forest Park Elementary School,West Sylvan Middle School,9,1993
813,807 N Alberta St,599999,4,2,2730,5320,Beach Elementary School,Ockley Green School,146,1910
814,8308 SE Hawthorne Blvd,289900,2,1,878,2604,Harrison Park School,Harrison Park School,92,1912
815,1503 NE Schuyler St,1750000,8,9,9212,24078,Irvington Elementary School,Harriet Tubman Middle School,21,1906
816,4932 SW Slavin Rd,419900,3,2,2252,7051,Capitol Hill Elementary School,Jackson Middle School,96,2005
817,2243 NE 11th Ave,1052000,6,3,4091,9434,Irvington Elementary School,Harriet Tubman Middle School,21,1906
818,620 N Hayden Bay Dr,439900,3,1,1816,6765,Faubion Elementary School,Faubion Elementary School,146,1971
819,5045 SE Ramona St,774900,4,3,2533,6370,Woodstock Elementary School,Hosford Middle School,16,1915
820,4642 NE Sumner St,474000,1,1,1532,3930,Vernon Elementary School,Vernon Elementary School,92,1926
821,3146 SW Fairmount Blvd,1425000,5,4,5188,22484,Rieke Elementary School,Gray Middle School,96,2006
822,5015 SW Dosch Rd,850000,6,3,3802,9244,Bridlemile Elementary School,Gray Middle School,96,1907
823,8270 SW 8th Ave,789900,4,3,2621,3809,Capitol Hill Elementary School,Jackson Middle School,96,1949
824,5114 NE 109th Ave,235000,2,1,727,1310,Shaver Elementary School,Parkrose Middle School,51,1947
825,2744 SW Sherwood Dr,1300000,4,3,5882,19417,Ainsworth Elementary School,West Sylvan Middle School,9,1948
826,921 SW Davenport St,1449000,4,3,3950,25734,Ainsworth Elementary School,West Sylvan Middle School,9,1964
827,11325 NW Laidlaw Rd,649000,3,1,2575,6264,Bonny Slope Elementary School,Cedar Park Middle School,57,1932
828,7240 NW Summitview Dr,1125000,6,4,5536,13046,Forest Park Elementary School,West Sylvan Middle School,9,1997
829,2351 SE 156th Ave,315000,2,1,1436,4549,Parklane Elementary School,Centennial Middle School,68,1900
830,534 NE 67th Ave,474950,5,2,2123,3449,Vestal Elementary School,Roseway Heights School,92,1908
831,1815 SW Montgomery Dr,2095000,4,3,6174,34829,Ainsworth Elementary School,West Sylvan Middle School,9,1914
832,720 NW Warrenton Ter,1495000,4,3,5248,23675,Chapman Elementary School,West Sylvan Middle School,9,1930
833,6822 N Interstate Ave,324900,2,1,750,2400,Chief Joseph/Ockley Green School,Ockley Green School,146,1926
834,14616 NW Rock Creek Rd,690000,4,3,2329,5567,Skyline Elementary School,Skyline Elementary School,9,1993
835,2524 NW Skyline Blvd,1599000,3,4,4625,23710,Forest Park Elementary School,West Sylvan Middle School,9,1995
836,16501 SE Powell Blvd,349000,3,1,960,3136,Powell Butte Elementary School,Centennial Middle School,68,1925
837,14025 NW Charlton Rd,1295000,6,4,4673,7336,Sauvie Island Academy,Sauvie Island Academy,53,1975
838,1822 NE 47th Ave,623900,4,3,3144,5719,Rose City Park,Roseway Heights School,92,1919
839,7701 SE 162nd Ave,799900,3,3,3468,15080,Pleasant Valley Elementary School,Centennial Middle School,68,1935
840,9025 NE Sandy Blvd,998999,2,1,834,1952,Russell Elementary,Parkrose Middle School,51,1925
841,3638 NE 158th Ave,249900,3,2,1286,3438,Margaret Scott Elementary School,Hauton B Lee Middle School,174,2003
