,Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
580,7536 N Chatham Ave,739900,6,4,3165,5687,Peninsula Elementary School,Ockley Green School,146,1999
581,3921 NW Devoto Ln,1390000,5,3,5340,17837,Forest Park Elementary School,West Sylvan Middle School,9,2002
582,7027 SE Rhone St,429700,5,2,2192,4448,Arleta Elementary School,Arleta Elementary School,29,1910
583,1132 SW 19th Ave ,329900,1,1,662,8828,Chapman Elementary School,West Sylvan Middle School,9,1997
584,5815 SE Flavel St,335000,3,2,1134,4201,Woodmere Elementary School,Lane Middle School,29,1996
585,317 NE 56th Ave,440000,2,2,1329,5101,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1997
586,15348 SE Henderson Way,485500,4,2,3080,6019,Pleasant Valley Elementary School,Centennial Middle School,68,2002
587,2107 NE 14th Ave,1049000,5,2,3850,8249,Irvington Elementary School,Harriet Tubman Middle School,21,1900
588,1616 SW Montgomery St,695000,2,2,1937,9026,Ainsworth Elementary School,West Sylvan Middle School,9,2004
589,6035 SE Reed College Pl,1620000,5,4,5710,23973,Duniway Elementary School,Sellwood Middle School,16,1939
590,9780 SW 54th Ave,699000,5,3,2595,3999,Markham Elementary School,Jackson Middle School,96,1940
591,14 SW Whitaker St,525000,3,1,2055,5010,Capitol Hill Elementary School,Jackson Middle School,96,1892
592,627 NE Randall Ave,599900,2,2,1487,1778,Buckman Elementary School,Hosford Middle School,16,1925
593,623 NE Randall Ave,599900,2,2,1487,1778,Buckman Elementary School,Hosford Middle School,16,1925
594,621 NE Randall Ave,599900,2,2,1461,1778,Buckman Elementary School,Hosford Middle School,16,1925
595,2636 SW Hume Ct,334900,2,2,1251,5567,Maplewood Elementary School,Jackson Middle School,96,2005
596,3523 SE Alder St,799900,5,3,2645,5079,Sunnyside Environmental School,Sunnyside Environmental School,29,1889
597,8428 SE 146th Pl,510000,4,3,3318,7311,Pleasant Valley Elementary School,Centennial Middle School,68,2007
598,1542 SW Joshua St,719000,4,3,2760,11375,Stephenson Elementary School,Jackson Middle School,96,2007
599,7735 SE 66th Pl,369000,3,2,1544,3960,Whitman Elementary School,Lane Middle School,16,1947
600,12621 SE Boise St,259900,3,2,1420,3697,Gilbert Heights Elementary School,Alice Ott Middle School,74,2006
601,302 NE Morgan St,287500,3,2,1131,4921,Woodlawn Elementary School,Ockley Green School,146,2008
602,4650 SW Ormandy Way,650000,4,2,2080,11651,Ainsworth Elementary School,West Sylvan Middle School,9,1980
603,15715 NE Beech St ,123900,2,2,978,2023,Margaret Scott Elementary School,Hauton B Lee Middle School,174,2001
604,3526 NE Fremont St,1200000,4,2,4756,9052,Alameda Elementary School,Beaumont Middle School,21,1919
605,1210 SE 135th Ave,349000,3,1,2100,4234,Menlo Park Elementary School,Floyd Light Middle School,74,1951
606,2834 NE Alameda St,1299900,6,4,5837,24726,Alameda Elementary School,Beaumont Middle School,21,1917
607,2122 SW 18th Ave,899000,3,3,2877,14098,Ainsworth Elementary School,West Sylvan Middle School,9,1886
608,4019 N Overlook Ter,995000,3,2,2756,12856,Beach Elementary School,Ockley Green School,146,1998
609,528 SE 128th Ave,329000,3,1,1170,3398,Menlo Park Elementary School,Floyd Light Middle School,74,1954
610,2929 SE 17th Ave,458500,2,1,1764,3322,Abernethy Elementary School,Hosford Middle School,16,1905
611,629 NE Randall Ave,599900,2,2,1554,1778,Buckman Elementary School,Hosford Middle School,16,1925
612,7621 SE Barbara Welch Rd,800000,4,4,4081,8491,Pleasant Valley Elementary School,Centennial Middle School,68,1943
613,6886 NE 13th Ave,499900,3,2,1712,3104,Woodlawn Elementary School,Ockley Green School,146,1914
614,1944 NW Cedar Ridge Dr,999000,4,3,4540,16318,Forest Park Elementary School,West Sylvan Middle School,9,1999
615,3441 SE 111th Ave ,47900,2,1,672,13455,West Powellhurst Elementary School,Ron Russell Middle School,74,1964
616,4005 SE Sherman St,574989,4,2,1874,3177,Glencoe Elementary School,Mt Tabor Middle School,29,1911
617,6434 SE 138th Pl,319990,3,2,1297,3844,Gilbert Park Elementary School,Alice Ott Middle School,74,2003
618,7033 SE 29th Ave,724900,4,2,2634,8026,Duniway Elementary School,Sellwood Middle School,16,1930
619,1524 NE 148th Pl,370000,2,2,1713,5569,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1993
620,8405 SE 23rd Ave,267000,2,1,1030,4030,Duniway Elementary School,Sellwood Middle School,16,1975
621,7926 SE 6th Ave,775000,3,2,1800,18977,Llewellyn Elementary School,Sellwood Middle School,16,2017
622,7932 SE 6th Ave,775000,3,2,1800,18977,Llewellyn Elementary School,Sellwood Middle School,16,2017
623,9746 NW Sunrise Ln,1850000,5,4,6395,30087,Forest Park Elementary School,West Sylvan Middle School,9,2004
624,5035 N Montana Ave,375500,4,2,2541,3750,Beach Elementary School,Ockley Green School,146,1906
625,2738 SW Robins Crest Dr,1450000,5,3,5846,19972,Ainsworth Elementary School,West Sylvan Middle School,9,1940
626,5035 NE 24th Ave,849900,5,3,2645,2483,Vernon Elementary School,Vernon Elementary School,92,1910
627,5615 SE 115th Ave,368000,3,2,2132,3821,Earl Boyles Elementary,Ron Russell Middle School,74,1962
628,8940 NW Skyline Blvd,594000,5,2,2688,8978,Skyline Elementary School,Skyline Elementary School,9,1960
629,917 SW Palatine St,885000,4,3,3738,15035,Stephenson Elementary School,Jackson Middle School,96,1992
630,7945 SE 104th Ave,410000,3,2,1740,4218,Gilbert Park Elementary School,Alice Ott Middle School,74,1976
631,1405 SE 168th Pl,319950,3,2,1282,2819,Patrick Lynch Elementary School,Centennial Middle School,68,1957
632,12818 SE Mill St,579900,5,3,3098,6049,Mill Park Elementary School,Ron Russell Middle School,74,1949
633,15519 SE Belmore Hts,439900,4,3,2409,6007,Pleasant Valley Elementary School,Centennial Middle School,68,2003
634,1719 NW Irving St,875000,4,2,3144,13844,Chapman Elementary School,West Sylvan Middle School,9,1893
635,1111 NE 37th Ave,1165000,3,3,3341,14207,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1932
636,2179 NW Hoyt St,720000,3,1,2119,5825,Chapman Elementary School,West Sylvan Middle School,9,1902
637,11108 SW 65th Ave,385000,3,2,1273,5672,Markham Elementary School,Jackson Middle School,96,1990
638,6623 N Astor St,299000,2,1,768,2295,James John Elementary School,George Middle School,146,1949
639,590 NW Alpine Ter,850000,2,2,2147,11958,Chapman Elementary School,West Sylvan Middle School,9,1966
640,7444 SW Laview Dr,450000,2,1,1114,7760,Capitol Hill Elementary School,Jackson Middle School,96,1963
641,6906 SE Nehalem St,275000,2,1,612,2933,Whitman Elementary School,Lane Middle School,16,1940
642,2650 SW Cross Ave,1350000,3,2,3572,19590,Ainsworth Elementary School,West Sylvan Middle School,9,1964
643,9826 SE Caruthers St,489000,5,2,2441,5998,Cherry Park Elementary School,Floyd Light Middle School,74,2007
644,3919 NE Tillamook St,575000,2,2,1848,6713,Beverly Cleary School,Beverly Cleary School,21,1998
645,18700 NW Logie Trail Rd,510000,3,1,2511,5537,Skyline Elementary School,Skyline Elementary School,9,1943
646,726 NW 11th Ave ,464000,1,1,817,4593,Chapman Elementary School,West Sylvan Middle School,9,2000
647,7125 SW 3rd Ave,699900,3,2,3548,5978,Rieke Elementary School,Gray Middle School,96,1888
648,7301 SW 26th Ave,499900,3,1,1597,4567,Hayhurst Elementary School,Gray Middle School,96,1943
649,2706 SE 138th Ave ,149900,2,1,796,1805,Lincoln Park Elementary School,Ron Russell Middle School,74,1974
650,2743 NW Thurman St ,259000,1,1,651,3332,Chapman Elementary School,West Sylvan Middle School,9,1933
651,924 NE 72nd Ave,399900,3,1,1210,3864,Vestal Elementary School,Roseway Heights School,92,1971
652,4926 SW Corbett Ave ,329995,2,2,1126,5042,Capitol Hill Elementary School,Jackson Middle School,96,1979
653,38 NE 148th Ave,375000,3,2,1475,3460,Glenfair Elementary School,Hauton B Lee Middle School,174,1952
654,13611 NW Glendoveer Dr,999000,4,3,3645,15992,Skyline Elementary School,Skyline Elementary School,9,1998
655,225 SW Carson St,479900,4,1,2519,7959,Capitol Hill Elementary School,Jackson Middle School,96,1949
656,2349 NW Pinnacle Dr,1376000,5,4,6444,23531,Forest Park Elementary School,West Sylvan Middle School,9,2005
657,10921 SE Flavel St,365000,3,2,1320,4465,Gilbert Park Elementary School,Alice Ott Middle School,74,1987
658,636 SE 156th Ave,385000,3,1,1732,4661,Parklane Elementary School,Centennial Middle School,68,1968
659,9525 SW 12th Dr,595000,2,1,1910,6775,Capitol Hill Elementary School,Jackson Middle School,96,1949
660,2799 SW Roswell Ave,544900,2,2,1616,8689,Ainsworth Elementary School,West Sylvan Middle School,9,1920
661,3114 SW Wilbard St,649950,4,3,3652,10483,Stephenson Elementary School,Jackson Middle School,96,1999
662,3927 NW Devoto Ln,835800,5,4,5858,23072,Forest Park Elementary School,West Sylvan Middle School,9,2002
663,10304 NE Tillamook St,459900,6,2,2342,4725,Sacramento Elementary School,Parkrose Middle School,51,1965
664,66 NW Macleay Blvd,673000,4,2,2757,11238,Chapman Elementary School,West Sylvan Middle School,9,1923
665,3507 NE Wasco St,599950,4,2,3402,9041,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1924
666,16430 NW Mcnamee Rd,366000,3,2,1848,4590,Skyline Elementary School,Skyline Elementary School,9,1999
667,8055 SE Bybee Blvd,599000,3,1,2316,3414,Woodmere Elementary School,Lane Middle School,29,1914
668,8357 SW 24th Ave,364900,2,2,1162,5351,Maplewood Elementary School,Jackson Middle School,96,2005
669,6837 N Montana Ave,590000,2,1,1461,3144,Chief Joseph/Ockley Green School,Ockley Green School,146,1926
670,3312 NE 48th Ave,799500,4,3,3477,7518,Alameda Elementary School,Beaumont Middle School,21,1924
671,2820 N Willamette Blvd,560000,4,2,2579,5671,Beach Elementary School,Ockley Green School,146,1928
672,5170 SW Landing Dr ,399000,2,2,1009,6575,Capitol Hill Elementary School,Jackson Middle School,96,1988
673,8822 N Swenson St,480000,4,3,2032,5906,Sitton Elementary School,George Middle School,146,2008
674,14261 NE Shaver St,339985,3,2,1836,5444,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1978
675,6603 N Amherst St,685500,4,3,3187,6939,Astor Elementary School,Astor Elementary School,146,1925
676,529 NW 21st Ave,760000,5,3,2891,7303,Chapman Elementary School,West Sylvan Middle School,9,1900
677,10812 SE Powell Blvd,259000,1,1,960,1153,Earl Boyles Elementary,Ron Russell Middle School,74,1950
678,9748 NW Miller Hill Dr,329900,2,2,1426,5532,Forest Park Elementary School,West Sylvan Middle School,9,1995
679,6111 SW Lesser Way,499999,4,3,2780,7803,Markham Elementary School,Jackson Middle School,96,2002
680,7118 SE 156th Ave,479000,4,3,2426,7119,Pleasant Valley Elementary School,Centennial Middle School,68,1998
681,4504 NE 95th Ave,425800,2,1,1650,2467,Prescott Elementary School,Parkrose Middle School,51,1926
683,4812 NE Mallory Ave,1999990,3,3,3486,2320,King Elementary School,Harriet Tubman Middle School,21,1910
684,195 N Lotus Beach Dr,785000,3,3,2846,11395,Faubion Elementary School,Faubion Elementary School,146,1982
685,6208 NE Killingsworth St,699000,6,2,2650,10094,Scott Elementary School,Roseway Heights School,92,1934
686,154 N Hayden Bay Dr,339777,2,1,952,4146,Faubion Elementary School,Faubion Elementary School,146,1983
687,7244 SE Taylor St,825000,4,3,2627,6102,Bridger Elementary School,Bridger Elementary School,29,1925
688,1883 SW Vista Ave,1925000,8,4,7870,33986,Ainsworth Elementary School,West Sylvan Middle School,9,1908
689,8427 SE Alder St,279999,2,1,1100,3876,Harrison Park School,Harrison Park School,92,1925
690,3737 NE 135th Ave,475000,5,3,3262,7746,Shaver Elementary School,Parkrose Middle School,51,1964
691,2506 SE Grant St,915000,3,1,3284,7554,Abernethy Elementary School,Hosford Middle School,16,1911
692,1683 SE Linn St,299900,2,1,948,3917,Duniway Elementary School,Sellwood Middle School,16,1997
693,1504 NE 57th Ave,450000,4,2,2667,5822,Rose City Park,Roseway Heights School,92,1940
694,8520 SW 20th Ave,599000,7,3,2772,7637,Capitol Hill Elementary School,Jackson Middle School,96,1989
695,2397 SW Montgomery Dr,899000,5,3,4603,14664,Ainsworth Elementary School,West Sylvan Middle School,9,1914
696,15324 NW Red Cedar Ct,1115000,6,5,6100,18360,Skyline Elementary School,Skyline Elementary School,9,2006
697,10440 N Oswego Ave,429900,4,1,1261,3795,Sitton Elementary School,George Middle School,146,1959
698,4241 SW 41st Ave,579950,3,3,2644,11043,Bridlemile Elementary School,Gray Middle School,96,1977
699,2448 SW Commonwealth Ave,2250000,5,3,5884,24893,Ainsworth Elementary School,West Sylvan Middle School,9,1989
700,3027 NW Montara Loop,575000,3,3,2968,9243,Forest Park Elementary School,West Sylvan Middle School,9,2000
701,3401 SE Brooklyn St,639000,3,2,2684,6220,Grout Elementary School,Hosford Middle School,16,1909
702,703 NE 79th Ave,427000,8,3,3040,6201,Vestal Elementary School,Roseway Heights School,92,1910
703,2037 SE 90th Pl,389000,4,2,1706,3934,Harrison Park School,Harrison Park School,92,1972
704,1826 NE Clackamas St,889000,4,2,3076,8048,Buckman Elementary School,Hosford Middle School,16,1917
705,14439 SE Crystal St,599900,5,4,4280,8341,Pleasant Valley Elementary School,Centennial Middle School,68,2007
706,12804 E Burnside St,339999,3,1,1325,3570,Menlo Park Elementary School,Floyd Light Middle School,74,1953
707,4031 NE 78th Ave,429900,2,1,2058,4865,Scott Elementary School,Roseway Heights School,92,1950
708,2217 N Terry St,439900,4,2,2228,3191,Peninsula Elementary School,Ockley Green School,146,1911
709,6145 E Burnside St,474000,3,2,2706,4052,Glencoe Elementary School,Mt Tabor Middle School,29,1900
710,1722 SW Vista Ave,1450000,4,3,3972,18764,Ainsworth Elementary School,West Sylvan Middle School,9,1910
711,3808 SW Mount Adams Dr,1400000,5,3,5049,7512,Ainsworth Elementary School,West Sylvan Middle School,9,1908
712,2043 NE Tillamook St,1650000,5,4,6767,18200,Irvington Elementary School,Harriet Tubman Middle School,21,1911
713,6049 NE Flanders St,725000,5,4,2387,9053,Glencoe Elementary School,Mt Tabor Middle School,29,1915
714,501 NE Bridgeton Rd ,324900,3,2,1485,5312,Faubion Elementary School,Faubion Elementary School,146,1956
715,1416 NW 24th Ave,1295000,5,4,2949,17180,Chapman Elementary School,West Sylvan Middle School,9,1896
716,3546 SW Hillside Dr,475000,2,2,1269,5733,Bridlemile Elementary School,Gray Middle School,96,1921
717,40 SE 133rd Ave ,349000,3,2,1688,3626,Russell Elementary,Parkrose Middle School,51,1943
718,6703 N Salem Ave,309000,2,1,1059,3955,James John Elementary School,George Middle School,146,2008
719,7246 SE 141st Ave,549000,4,3,3570,7976,Gilbert Park Elementary School,Alice Ott Middle School,74,1994
720,8209 SE Pineridge Ct,689888,5,5,3290,3241,Gilbert Park Elementary School,Alice Ott Middle School,74,2019
721,3240 SW Sherwood Pl,650000,4,3,3425,12116,Ainsworth Elementary School,West Sylvan Middle School,9,1964
722,9323 SW 52nd Ave,355000,2,1,704,3921,Markham Elementary School,Jackson Middle School,96,1951
723,2709 SW Patton Ct,650000,4,3,3071,13051,Ainsworth Elementary School,West Sylvan Middle School,9,1963
724,2021 SE Larch Ave,639900,3,2,3163,6499,Abernethy Elementary School,Hosford Middle School,16,1938
725,707 NE Church St,415000,3,1,1566,3104,King Elementary School,Harriet Tubman Middle School,21,1999
726,2624 NE Clackamas St,679900,3,3,2818,6839,Irvington Elementary School,Harriet Tubman Middle School,21,1928
727,8327 SE Clatsop St,469000,2,1,1636,3608,Kelly Elementary School,Lane Middle School,29,1910
728,5115 SE Henderson St,195000,1,1,494,1691,Lewis Elementary School,Sellwood Middle School,16,1924
