Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
2931 NW Verde Vista Ter,$1085000,3,2F11/2,2676,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3908 NE 8th Ave,$774000,4,4,2833,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
6815 N Portsmouth Ave,$629900,4,2F11/2,2210,Astor Elementary School,Astor Elementary School,Roosevelt High School
8937 N Dwight Ave,$309000,3,1F11/2,1344,Rosa Parks Elementary School,George Middle School,Roosevelt High School
915 SE 35th Ave ,$299000,1,1,990,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
2515 SE 29th Ave ,$535000,3,3F11/2,1456,Abernethy Elementary School,Hosford Middle School,Cleveland High School
3352 SW Spring Garden St,$800000,3,1,1334,Maplewood Elementary School,Jackson Middle School,Wilson High School
7007 N Concord Ave,$649950,3,2F11/2,2016,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
4336 SW Pendleton St,$839000,4,2F11/2,3465,Hayhurst Elementary School,Gray Middle School,Wilson High School
2114 N Farragut St,$374900,2,1F11/2,798,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
6970 SE 35th Ave,$1099900,4,3F11/2,3159,Duniway Elementary School,Sellwood Middle School,Cleveland High School
12889 NW Hartford St,$975000,4,3F11/2,3898,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
790 SE Webber St ,$414900,2,1F11/2,1201,Duniway Elementary School,Sellwood Middle School,Cleveland High School
3338 SE 61st Ave,$689900,3,2F11/2,2403,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
6980 SE 35th Ave,$1099900,4,3F11/2,3200,Duniway Elementary School,Sellwood Middle School,Cleveland High School
3324 SE 61st Ave,$689900,3,2F11/2,2337,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
3346 SE 61st Ave,$719900,4,3,2464,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
8815 NE Wasco St,$340000,3,2F11/2,1768,Lee Elementary School,Roseway Heights School,Madison High School
117 SW Gibbs St,$1045000,2,2F11/2,1952,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
8947 N Curtis Ave,$395000,3,1,976,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
14411 SE Knight St,$650000,6,3F21/2,3524,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
3324 NE 89th Ave,$449950,4,3,2369,Lee Elementary School,Roseway Heights School,Madison High School
