Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
2300 SW 103rd Ave,$3750000,6,7,14500,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
6546 SW Virginia Ave,$575000,3,3F11/2,2162,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
1009 NW Hoyt St ,$405000,1,1,847,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3618 NE 154th Ave,$240000,3,2F11/2,1512,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
925 NE 74th Ave,$469900,4,2,2578,Vestal Elementary School,Roseway Heights School,Madison High School
15330 SE Yamhill St,$317000,3,1F11/2,1244,Parklane Elementary School,Centennial Middle School,Centennial High School
10527 SE Raymond St,$297500,3,1F11/2,1580,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
14915 NE Sacramento St ,$230000,2,2,1128,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
1514 NE Highland St,$450000,4,1F11/2,1881,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
4900 NE 18th Ave,$849900,4,2,4800,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
3617 SW Vesta St,$349000,3,2F11/2,1702,Markham Elementary School,Jackson Middle School,Wilson High School
7503 N Kerby Ave,$399000,4,3,2704,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
814 SE Sherrett St,$449900,3,1,1794,Duniway Elementary School,Sellwood Middle School,Cleveland High School
1813 N Colfax St,$489900,3,2F11/2,1635,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
10396 NW Forestview Way,$384900,2,3F11/2,1954,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
4708 NE 60th Ave,$399000,3,2F11/2,1456,Scott Elementary School,Roseway Heights School,Madison High School
3316 SE 23rd Ave,$950000,7,2,4094,Abernethy Elementary School,Hosford Middle School,Cleveland High School
14335 SW 164th Ave,$1150000,6,4F11/2,4655,Mary Woodward Elementary School,Thomas R Fowler Middle School,Tualatin High School
2470 NW Thurman St,$995000,2,2F11/2,1983,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3724 SE 148th Ave,$369900,4,2F11/2,1411,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
1568 NE 74th Ave,$499000,3,2F11/2,1837,Vestal Elementary School,Roseway Heights School,Madison High School
2419 NW Birkendene St,$769000,4,2F11/2,3557,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
15490 NW Tee Ct,$410000,2,2F11/2,1834,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
737 NE 99th Ave ,$159000,1,1,510,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
10428 NE Pacific St,$349950,3,1,1314,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
11339 NW Elise Ln,$634990,3,2F11/2,2815,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
635 NW Lost Springs Ter ,$319500,2,2,1092,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
10450 SW 53rd Ave,$739000,5,3,3959,Markham Elementary School,Jackson Middle School,Wilson High School
6427 SE 134th Ave,$357900,4,3,1400,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
15038 NW Aberdeen Dr,$459000,2,2F11/2,1783,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
7625 N Van Houten Ave,$399500,3,1,1646,Astor Elementary School,Astor Elementary School,Roosevelt High School
3312 SE 165th Pl,$309900,3,2,1080,Powell Butte Elementary School,Centennial Middle School,Centennial High School
220 N Hayden Bay Dr,$444000,2,2F11/2,2091,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
2131 NE Saratoga St,$475000,3,2,1704,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
225 SE 126th Ave ,$170000,2,1F11/2,755,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
5825 SW 59th Ct,$499000,3,2F11/2,1881,Hayhurst Elementary School,Gray Middle School,Wilson High School
10045 N Mohawk Ave,$325000,4,2,1840,Sitton Elementary School,George Middle School,Roosevelt High School
636 NW Albemarle Ter,$1900000,4,2F11/2,4801,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7621 SE Crystal Springs Blvd,$356900,3,2F11/2,1416,Whitman Elementary School,Lane Middle School,Cleveland High School
414 N Rosa Parks Way,$399900,2,1,1392,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
12415 NE Brazee St,$375000,3,3,2365,Russell Elementary,Parkrose Middle School,Parkrose High School
5369 NW Roanoke Ln,$1995000,5,5F11/2,5494,Jacob Wismer Elementary School,Stoller Middle School,Sunset High School
1627 SW Montgomery St,$575000,2,2F11/2,2188,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
4023 SE 65th Ave,$375000,3,1,1741,Arleta Elementary School,Arleta Elementary School,Franklin High School
5787 SW Clay Ct,$750000,4,3F11/2,2815,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
7325 SE 22nd Ave,$575000,3,2,2213,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
8243 NE Wygant St,$344900,3,1,1064,Russell Elementary,Parkrose Middle School,Parkrose High School
4406 NE 13th Ave,$699000,4,2,2520,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
7909 SW Cedarcrest St,$439900,4,2,2120,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
9001 N Trumbull Ave,$548000,2,1,1719,Sitton Elementary School,George Middle School,Roosevelt High School
4344 SW Hillside Dr,$890000,4,3F11/2,3910,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
6247 SE Yamhill St,$850000,3,3F11/2,2998,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
2328 SE 139th Ave,$399900,4,2F11/2,2036,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
235 NE 84th Ave,$455000,3,1,2493,Vestal Elementary School,Roseway Heights School,Madison High School
2818 NE 15th Ave,$824000,5,2F11/2,3980,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
108 NE Bridgeton Rd,$199990,3,3F11/2,2495,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
222 N Hayden Bay Dr,$389900,3,2,2015,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
4190 SE Knapp St,$750000,4,2F11/2,2885,Lewis Elementary School,Sellwood Middle School,Cleveland High School
2775 NW Upshur St ,$468000,3,2,1342,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
5515 SW 63rd Ave,$1150000,4,3F11/2,3707,Hayhurst Elementary School,Gray Middle School,Wilson High School
3611 SW Condor Ave,$525000,3,1F21/2,2286,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
7424 SE Ogden St,$370000,3,1F11/2,1254,Whitman Elementary School,Lane Middle School,Cleveland High School
3829 SE 149th Ave,$347000,3,1,1508,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
6241 SE 142nd Ave,$225000,3,2,1269,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
6446 NE 36th Ave,$799900,4,2F11/2,3224,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
5396 NW Wahkeena Ln,$442000,4,2F11/2,1849,Lenox Elementary School,J W Poynter Middle School,Liberty High School
1609 SE Umatilla St,$749000,4,3,2398,Duniway Elementary School,Sellwood Middle School,Cleveland High School
5950 SW Riveridge Ln,$464000,2,2F11/2,1286,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
4804 NE 106th Ave,$410000,3,2F11/2,2791,Prescott Elementary School,Parkrose Middle School,Parkrose High School
16184 NW Ryegrass St,$534900,5,3,2374,Sato Elementary School,Stoller Middle School,Westview High School
3744 SE Steele St,$429900,3,2,1132,Grout Elementary School,Hosford Middle School,Cleveland High School
1224 NE 81st Ave,$549900,3,2,1569,Vestal Elementary School,Roseway Heights School,Madison High School
1005 SW Park Ave ,$259000,1,1,540,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
4205 SE 80th Ave,$379900,3,2F11/2,1714,Marysville Elementary School,Marysville Elementary School,Franklin High School
4209 SE 80th Ave,$379900,3,2F11/2,1714,Marysville Elementary School,Marysville Elementary School,Franklin High School
4215 SE 80th Ave,$379900,3,2F11/2,1714,Marysville Elementary School,Marysville Elementary School,Franklin High School
1319 NE 126th Ave,$329000,3,2,1983,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
4355 SW Laurelwood Ave,$930000,3,3,3215,Raleigh Park Elementary School,Whitford Middle School,Beaverton High School
14150 E Burnside St ,$210000,3,2,1162,Russell Elementary,Parkrose Middle School,Parkrose High School
4219 SE 80th Ave,$379900,3,2F11/2,1714,Marysville Elementary School,Marysville Elementary School,Franklin High School
1831 N Jantzen Ave,$5000,1,1,1100,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
8320 SW 33rd Ave,$550000,3,3,2128,Maplewood Elementary School,Jackson Middle School,Wilson High School
8579 SW 71st Ter,$746900,5,3F11/2,4310,Montclair Elementary School,Whitford Middle School,Southridge High School
4222 N Kerby Ave,$669900,5,3F11/2,2378,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
7931 SW 40th Ave ,$220000,2,2,893,Maplewood Elementary School,Jackson Middle School,Wilson High School
4224 N Kerby Ave,$669900,5,3F11/2,2378,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
456 NW Skyline Blvd,$974900,4,5,4248,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
703 NE Killingsworth St,$389000,2,1,1562,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
9908 SE Mount Scott Blvd,$499000,4,1F11/2,3725,Kelly Elementary School,Lane Middle School,Franklin High School
14489 SE Knight St,$420000,4,2F11/2,1877,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
14489 SE Knight St ,$422000,4,2F11/2,1851,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
1422 SE 51st Ave,$609900,4,3,2430,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
3103 SW Collins Ct,$1200000,4,3F11/2,4164,Stephenson Elementary School,Jackson Middle School,Wilson High School
3410 SE 119th Ave,$320000,2,1,1288,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
1233 N Winchell St,$475000,3,2,1536,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
1710 SW Harbor Way ,$345000,1,1,819,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
7010 SW Brier Pl,$550000,5,2,2866,Rieke Elementary School,Gray Middle School,Wilson High School
1130 NW 12th Ave ,$649900,2,2,1286,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
9240 N Mohawk Ave,$450000,4,2F11/2,1692,James John Elementary School,George Middle School,Roosevelt High School
345 N Lotus Beach Dr,$749900,2,2F11/2,3060,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
9726 NW Sunrise Ln,$1599900,6,4F21/2,6451,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
3326 N Farragut St,$485000,3,3,2379,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3825 SE Center St,$429900,3,1,1330,Grout Elementary School,Hosford Middle School,Cleveland High School
10071 NW Wilshire Ln,$335000,2,2,1529,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
704 NE Killingsworth Ct,$310000,4,2,2048,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
2049 NW Overton St ,$379000,1,1,727,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
15751 SE Powell Blvd,$339999,6,2,2622,Powell Butte Elementary School,Centennial Middle School,Centennial High School
10618 NW 4th Pl,$649900,4,3F11/2,4824,Skyline Elementary School,Skyline Elementary School,Lincoln High School
10001 SW Riverside Dr,$997500,5,2F11/2,4986,Riverdale Grade School,Riverdale Grade School,Riverdale High School
10601 NW 4th St,$369900,1,1,1308,Skyline Elementary School,Skyline Elementary School,Lincoln High School
4579 NW 132nd Ave,$939900,6,4,3969,Findley Elementary School,Stoller Middle School,Sunset High School
15960 NW Hildago Ln,$364000,3,2F11/2,1454,Sato Elementary School,Stoller Middle School,Westview High School
3019 N Hunt St,$639900,3,2F11/2,2480,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
2933 SE 136th Ave,$299000,3,2,1778,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
9837 NE Irving St ,$149900,2,1,759,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
5944 SW View Point Ter,$439000,3,2,1056,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
12316 NW Hiller Ln,$731995,4,3F11/2,2600,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
10832 NE Siskiyou St,$417000,4,3,2525,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
700 SW 48th Dr,$1440000,3,3F11/2,3752,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
6449 NE 33rd Ave,$449900,5,2,2518,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
4444 SW Ormandy Way,$1179000,5,3F11/2,3010,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3804 SE 27th Ave,$459900,3,1,1010,Grout Elementary School,Hosford Middle School,Cleveland High School
1828 SE Main St,$875000,5,4F11/2,3655,Buckman Elementary School,Hosford Middle School,Cleveland High School
15733 SE Hawk Ct,$425000,4,3,2340,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
6035 SE Tenino St,$299000,2,1,1188,Whitman Elementary School,Lane Middle School,Cleveland High School
2004 NW Norfolk Ct,$650000,4,2F11/2,3323,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
4225 SE 28th Ave,$639900,4,2F11/2,2624,Grout Elementary School,Hosford Middle School,Cleveland High School
5615 NE 35th Ave,$639900,4,2F11/2,2978,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
1830 NW Riverscape St ,$750000,2,2F11/2,1473,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
9297 NW Fullner Ct,$1150000,5,4,4724,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
5400 NE Rodney Ave,$974900,7,3F21/2,5147,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
2341 SE 154th Ave,$425000,3,2,1704,Parklane Elementary School,Centennial Middle School,Centennial High School
1525 NW 123rd Ave,$477000,3,3,2006,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
125 NE 80th Ave,$350000,2,1F11/2,1904,Vestal Elementary School,Roseway Heights School,Madison High School
841 SW Gaines St ,$2500000,2,2F11/2,2340,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
10224 N Tioga Ave,$309900,3,1,1099,Sitton Elementary School,George Middle School,Roosevelt High School
1680 SW Montgomery Dr,$2799000,3,2F21/2,4664,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
13705 NE Halsey St,$349800,2,1,1251,Russell Elementary,Parkrose Middle School,Parkrose High School
5252 NE 27th Ave,$460000,4,2,2520,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
6753 SE 134th Ave,$349900,3,2,1432,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
1322 SE 114th Ave,$405000,3,2,1392,Mill Park Elementary School,Floyd Light Middle School,David Douglas High School
169 N Lotus Beach Dr,$614900,3,3,3075,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
133 SE 55th Ave ,$874900,5,3,2942,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
15718 NW Brugger Rd,$393995,3,2F11/2,1590,Sato Elementary School,Stoller Middle School,Westview High School
5531 NE Cleveland Ave,$724000,4,2F11/2,3408,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
10199 NW Crossing Dr,$729900,3,2F11/2,3274,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
11721 SW Riverwood Rd,$1395000,4,3F11/2,2928,Riverdale Grade School,Riverdale Grade School,Riverdale High School
12774 NW Majestic Sequoia Way,$1765000,5,3F21/2,4908,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
6517 NE Emerson St,$399900,3,2,1622,Scott Elementary School,Roseway Heights School,Madison High School
6821 N Montana Ave,$400000,2,1,972,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
11295 SW Muirwood Dr,$559000,3,2,1803,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
2802 NW Ariel Ter,$880000,3,3,2201,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7671 SW Willowbottom Way,$649000,4,2F11/2,2323,Durham Elementary School,Twality Middle School,Tualatin High School
762 NE Jessup St ,$669900,5,3F11/2,2390,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3188 NE Oregon St ,$674900,4,3F11/2,2445,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
760 NE Jessup St,$669900,3,3F11/2,2390,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3908 SE Nehalem St,$674900,4,3F11/2,2353,Duniway Elementary School,Sellwood Middle School,Cleveland High School
2896 SE Division St ,$499000,3,2F11/2,1448,Abernethy Elementary School,Hosford Middle School,Cleveland High School
6355 N Greeley Ave,$399900,4,2,1929,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
3173 SE 79th Ave,$459000,3,2F11/2,1652,Bridger Elementary School,Bridger Elementary School,Franklin High School
2461 NE Sumner St,$699900,4,3F11/2,2642,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
5207 NE 25th Ave,$674900,4,3F11/2,2462,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
410 NW 18th Ave ,$585000,3,1,1283,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
11390 SW Foothill Dr,$554999,3,2,2160,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
7049 SE 35th Ave,$725000,4,1F11/2,2660,Duniway Elementary School,Sellwood Middle School,Cleveland High School
4255 SE 117th Ave,$599000,6,3,2918,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
4165 SE 37th Ave,$425000,3,2F11/2,1582,Grout Elementary School,Hosford Middle School,Cleveland High School
2835 SE Carlton St,$1549950,5,4F11/2,5215,Duniway Elementary School,Sellwood Middle School,Cleveland High School
4915 N Interstate Ave,$499900,4,1F11/2,2690,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
615 NE 81st Ave,$359900,3,1,1718,Vestal Elementary School,Roseway Heights School,Madison High School
10605 SE Clinton St,$339900,3,2,1789,Harrison Park School,Harrison Park School,Madison High School
6209 SW Tower Way,$795000,5,3,3764,Hayhurst Elementary School,Gray Middle School,Wilson High School
2215 NW Edgewood Pl,$389000,2,2F11/2,1367,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
1821 NE 25th Ave,$419000,2,2,1015,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
8216 N Chautauqua Blvd,$629900,5,3F11/2,2585,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
1702 SE 59th Ave,$699950,3,2,2642,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
6255 SW Tower Way,$749900,4,2F21/2,3562,Hayhurst Elementary School,Gray Middle School,Wilson High School
15481 NW Troon Dr,$539000,2,2F21/2,1432,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
136 NE 117th Ave,$489000,4,2,2548,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
5720 SE Jenne Rd,$389000,3,2,1496,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
46 NE 148th Ave,$395000,3,1,1094,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
1326 NE 155th Ave,$249900,2,1,768,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
11938 SW 60th Ave,$1099000,4,3F11/2,3393,Markham Elementary School,Jackson Middle School,Wilson High School
8023 SW Ruby Ter,$620000,3,2F11/2,3410,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
651 SE 148th Ave ,$179900,3,1,1322,Parklane Elementary School,Centennial Middle School,Centennial High School
5225 NE Garfield Ave,$625000,5,2,3411,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
5212 NE 62nd Ave,$475000,4,2,1668,Scott Elementary School,Roseway Heights School,Madison High School
9845 NW Silver Ridge Loop,$387000,2,2F11/2,1523,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2333 NE Multnomah St,$739900,3,2F11/2,2993,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
9643 NW Silver Ridge Loop,$378000,3,2,1350,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
1150 NW Quimby St ,$2955000,3,2F11/2,2701,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
11421 SE Salmon St,$399900,5,1F11/2,2662,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
2737 SW English Ct,$1250000,5,3F11/2,4191,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
14377 SE Knight St ,$420000,4,2F11/2,1922,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
3814 SE Martins St,$1229000,5,1F11/2,4956,Duniway Elementary School,Sellwood Middle School,Cleveland High School
1911 SE 97th Ave,$375000,4,1F11/2,2368,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
1135 SE 80th Ave,$950000,2,1,1263,Bridger Elementary School,Bridger Elementary School,Franklin High School
3062 NW Montara Loop,$599000,2,2,1563,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2322 SW Sheffield Ave,$1200000,3,3F11/2,3316,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
7731 SE Tolman St,$399900,3,1,1664,Woodmere Elementary School,Lane Middle School,Franklin High School
5715 N Greeley Ave ,$399900,2,2,1055,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
9421 E Burnside St,$524800,2,1,1443,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
10549 NW Skyline Blvd,$449500,3,3,1312,Skyline Elementary School,Skyline Elementary School,Lincoln High School
11620 SW Lynnridge Ave,$1599999,4,3F11/2,4055,William Walker Elementary School,Cedar Park Middle School,Beaverton High School
10632 SE Cora St,$279900,3,1,960,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
3707 SW Baird St,$649950,4,3,2970,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
17615 NW Country Dr,$549000,4,2F11/2,2572,Bethany Elementary School,Meadow Park Middle School,Westview High School
7221 N Catlin Ave,$358000,2,1,1658,Sitton Elementary School,George Middle School,Roosevelt High School
9715 NW Newton Rd,$950000,5,4,4110,Skyline Elementary School,Skyline Elementary School,Lincoln High School
395 NW Brynwood Ln,$3250000,4,3,3850,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
220 SE 132nd Ave,$349900,3,2,1554,Russell Elementary,Parkrose Middle School,Parkrose High School
4569 NE 84th Ave,$464000,4,2F11/2,1806,Russell Elementary,Parkrose Middle School,Parkrose High School
1415 NE 21st Ave ,$279900,2,1,964,Buckman Elementary School,Hosford Middle School,Cleveland High School
1631 NW Everett St ,$267500,1,1,506,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2405 SW Burbank Ave,$580000,3,3,2123,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
3125 NE Cesar E Chavez Blvd,$799900,2,2F11/2,1770,Alameda Elementary School,Beaumont Middle School,Grant High School
6224 SE Harney St,$449900,5,4,2115,Whitman Elementary School,Lane Middle School,Cleveland High School
3136 NE 126th Ct,$438000,5,3,3343,Russell Elementary,Parkrose Middle School,Parkrose High School
4630 SW Water Ave,$565000,3,2,2522,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
11719 SE Boise St,$279900,2,2,702,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
7245 SW Aloma Way,$600000,5,2F11/2,3265,Montclair Elementary School,Whitford Middle School,Southridge High School
5862 SW Ralston Dr,$750000,4,2F11/2,2859,Rieke Elementary School,Gray Middle School,Wilson High School
9575 NW Harvest Hill Dr,$569900,4,3,2351,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
8325 SE 64th Ave ,$349900,2,1F11/2,893,Whitman Elementary School,Lane Middle School,Cleveland High School
3718 SW Hillside Dr,$1334999,4,3F11/2,4448,Bridlemile Elementary School,Gray Middle School,Wilson High School
11033 NW Rainmont Rd,$899950,4,3,3000,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
2726 SW 28th Dr,$699900,4,3F11/2,4713,Stephenson Elementary School,Jackson Middle School,Wilson High School
14302 SE Main St,$345000,4,1,1460,Parklane Elementary School,Centennial Middle School,Centennial High School
7475 SW 82nd Ave,$349500,3,2,1602,Montclair Elementary School,Whitford Middle School,Southridge High School
8034 SE 42nd Ave,$479900,4,2,1536,Lewis Elementary School,Sellwood Middle School,Cleveland High School
11520 SE Harold St,$279900,2,1,720,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
2817 NW Kennedy Ct ,$325000,2,2,1522,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2309 SW 1st Ave ,$679900,3,3,2508,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3553 SE Long St,$754900,4,3F11/2,2860,Grout Elementary School,Hosford Middle School,Cleveland High School
7936 SE 64th Ave,$374999,4,2,1264,Whitman Elementary School,Lane Middle School,Cleveland High School
1535 SW Clay St ,$260000,1,1,773,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
6922 SE Clatsop St,$529000,4,3F11/2,1884,Lewelling Elementary School,Rowe Middle School,Milwaukie High School
2002 SW Dolph Ct,$599000,3,2F11/2,3395,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
2805 SE Hawthorne Blvd ,$339000,3,1,910,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
3636 NE 149th Ave,$375000,4,2F11/2,2221,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
9911 SE Cambridge Ln,$1475000,5,2F11/2,4043,Milwaukie Elementary School,Rowe Middle School,Milwaukie High School
5467 N Cecelia St,$448650,3,3,1479,Cesar Chavez K-8 School,Cesar Chavez K-8 School,Roosevelt High School
1030 NW 12th Ave ,$449000,1,1,712,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3165 NE Multnomah St,$599900,3,2F11/2,1998,Beverly Cleary School,Beverly Cleary School,Grant High School
2649 NW Kennedy Ct,$393000,3,3,1675,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
1616 SW Harbor Way ,$390500,2,2,1038,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3179 SE 79th Ave,$439000,2,2F11/2,1365,Bridger Elementary School,Bridger Elementary School,Franklin High School
12383 NW Hiller Ln ,$966995,4,3F11/2,3811,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
15706 NW Clubhouse Dr,$400000,2,2F11/2,1651,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
14918 SE Main St,$290000,3,2,1180,Parklane Elementary School,Centennial Middle School,Centennial High School
3478 NW 147th Pl,$794900,5,3,3142,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
4307 NE Grand Ave,$749900,4,3F11/2,2322,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
465 NE Skidmore St,$739900,4,3F11/2,2328,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
8973 SE Harney Ct,$414900,4,2F11/2,1758,Kelly Elementary School,Lane Middle School,Franklin High School
