Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
839 SW Broadway Dr ,$275000,2,1,875,"$4,597",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1968
12829 SE Madison St,$457000,4,2,2224,"$4,677",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1960
43 SE 89th Ave,$289000,2,1,1196,"$2,937",Vestal Elementary School,Roseway Heights School,Madison High School,1931
6045 NE Flanders St,$725000,2,4,2387,"$9,053",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1915
414 N Bridgeton Rd,$449000,2,2F11/2,2344,"$7,643",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1997
1826 NE Highland St,$899000,4,2F11/2,2846,"$3,283",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1951
8441 SW 10th Ave,$419900,2,1F11/2,1250,"$4,973",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1971
8122 SE 74th Ave,$290000,5,1F11/2,1613,"$3,197",Whitman Elementary School,Lane Middle School,Cleveland High School,1950
12253 SE Long St,$254950,2,2F11/2,1860,"$3,179",Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School,2001
2340 N Winchell St,$434900,3,1F11/2,1028,"$3,601",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1910
110 SE 73rd Ave,$282000,2,1,762,"$3,264",Vestal Elementary School,Roseway Heights School,Madison High School,1963
875 N Watts St,$399900,2,1F11/2,976,"$3,003",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1952
4923 SW Lowell St,$689000,3,3,2366,"$9,682",Bridlemile Elementary School,Gray Middle School,Wilson High School,1949
9719 NW Silver Ridge Loop,$381900,2,2,1419,"$6,634",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1994
3440 NE 63rd Ave,$589950,4,2F11/2,3058,"$7,563",Scott Elementary School,Roseway Heights School,Madison High School,1915
15424 SE Tibbetts St,$399000,2,2,1128,"$3,548",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1966
12620 NE Morris St,$385000,3,1F11/2,1638,"$4,467",Russell Elementary,Parkrose Middle School,Parkrose High School,1962
5254 SE 74th Ave,$275000,1,1,588,"$2,404",Marysville Elementary School,Marysville Elementary School,Franklin High School,1923
608 NE 118th Ave,$565000,10,4F41/2,3400,"$8,301",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1993
12227 SW Lesser Rd,$410000,3,2,2348,"$5,693",Markham Elementary School,Jackson Middle School,Wilson High School,1952
1841 SE 130th Ave,$369900,3,2F11/2,1337,"$4,270",Mill Park Elementary School,Ron Russell Middle School,David Douglas High School,1994
7739 SW 10th Ave,$599000,3,2F11/2,2182,"$7,809",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1982
8009 SE 144th Dr,$824999,6,4F11/2,5470,"$11,506",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2005
2109 SE 118th Ave,$315000,3,1,1533,"$2,637",Mill Park Elementary School,Floyd Light Middle School,David Douglas High School,1952
2116 NW 16th Ave,$788900,2,2F11/2,2074,"$14,171",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2006
110 NE 157th Ave,$498000,4,2,2124,"$3,294",Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School,1965
7820 N Olympia St,$399000,3,3,1772,"$4,718",Sitton Elementary School,George Middle School,Roosevelt High School,1999
3624 NE Cleveland Ave,$499000,4,2,2776,"$3,157",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1894
10215 SW 31st Ave,$579900,3,3,2393,"$10,557",Stephenson Elementary School,Jackson Middle School,Wilson High School,1993
16317 SE Market St,$293900,3,1,1180,"$3,245",Patrick Lynch Elementary School,Centennial Middle School,Centennial High School,1955
3319 SE 50th Ave,$460000,2,1,1522,"$3,816",Creston Elementary School,Creston Elementary School,Franklin High School,1926
6410 NE 41st Ave,$450000,3,2,2747,"$6,495",Rigler Elementary School,Beaumont Middle School,Madison High School,1955
4514 E Burnside St,$610000,6,2,3911,"$7,356",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1932
7229 N Hurst Ave,$549950,4,2,2892,"$6,133",Astor Elementary School,Astor Elementary School,Roosevelt High School,1942
1209 SW 6th Ave ,$499000,2,1,1140,"$58,733",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1913
2083 NW Johnson St ,$435000,2,1,1114,"$3,882",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1911
8809 SE Reedway St,$324900,3,1F11/2,1060,"$3,576",Lent Elementary School,Lent Elementary School,Franklin High School,1978
2354 NW Roosevelt St,$495000,2,2,2111,"$3,838",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1904
6417 SE 139th Ave,$331900,3,2,1216,"$3,911",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1997
1526 NE 150th Ave,$376500,2,2,1427,"$5,163",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1993
2114 SE Ladd Ave,$949900,6,2,4188,"$7,497",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1913
7023 SE Knight St,$329000,2,1,820,"$3,161",Arleta Elementary School,Arleta Elementary School,Franklin High School,1904
5703 SE Lambert St,$159900,2,1,864,"$1,643",Whitman Elementary School,Lane Middle School,Cleveland High School,1923
6428 SE 139th Ave,$314900,2,2,1066,"$3,745",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1997
8031 SE 9th Ave,$719900,4,2F11/2,2083,"$1,273",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,1884
7935 SE Bybee Blvd,$339900,2,1,1298,"$2,868",Woodmere Elementary School,Lane Middle School,Franklin High School,1944
6007 SE Steele St,$625000,4,3F11/2,2550,"$7,270",Arleta Elementary School,Arleta Elementary School,Franklin High School,2012
9635 SE Glenwood St,$375000,3,2,1950,"$4,202",Kelly Elementary School,Lane Middle School,Franklin High School,1954
8329 SW 24th Ave,$398000,3,3F11/2,1724,"$7,343",Maplewood Elementary School,Jackson Middle School,Wilson High School,2005
8821 NE Wasco St,$325000,3,2F11/2,2029,"$4,285",Lee Elementary School,Roseway Heights School,Madison High School,2008
330 SE 50th Ave,$348000,2,1F11/2,1274,"$3,541",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1973
1621 NE 157th Ave,$389900,4,2,1612,"$3,684",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1965
4145 SW Washouga Ave,$649900,4,3,3130,"$7,790",Rieke Elementary School,Gray Middle School,Wilson High School,1971
6126 SE Malden St,$299999,3,3,1506,"$3,855",Whitman Elementary School,Lane Middle School,Cleveland High School,2006
2344 SE 112th Ave,$299900,3,2F11/2,1430,"$3,804",Mill Park Elementary School,Floyd Light Middle School,David Douglas High School,2007
10161 N Ziegler Ave,$329900,2,1F11/2,1208,"$3,351",Sitton Elementary School,George Middle School,Roosevelt High School,2005
25 NE 47th Ave,$650000,4,1F11/2,3452,"$7,880",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1912
318 SE Spokane St,$929000,2,2F11/2,2612,"$14,106",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1980
6617 SE 65th Ave,$315000,2,1,884,"$3,059",Woodmere Elementary School,Lane Middle School,Franklin High School,1961
528 NE 92nd Ave,$419000,3,2,1533,"$3,879",Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School,2004
10110 SE Clatsop St,$619000,5,2F11/2,3453,"$10,445",Kelly Elementary School,Lane Middle School,Franklin High School,1994
4816 SW Fairview Blvd,$725000,3,2F11/2,2473,"$12,488",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2002
1310 NE 148th Ave,$699900,10,4F31/2,5120,"$9,831",Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School,1956
2029 SE 143rd Ave,$335000,4,2,1222,"$3,357",Parklane Elementary School,Centennial Middle School,Centennial High School,1953
3405 NE 162nd Ave,$230000,3,2,1430,"$2,524",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1979
15735 SE Clinton St,$294990,3,1,950,"$3,302",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1972
8037 NW Prominence Ct,$1250000,3,4,3195,"$11,506",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2011
712 SE 42nd Ave,$464712,2,1,889,"$3,618",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1917
650 NW Macleay Blvd,$1350000,4,3F11/2,2863,"$11,243",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1952
10035 N Syracuse St,$479950,4,2F11/2,2456,"$5,199",Sitton Elementary School,George Middle School,Roosevelt High School,1922
306 SW Palatine Hill Rd,$475000,2,1,2184,"$4,356",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1957
1148 SE 84th Ave,$299900,2,1F11/2,840,"$2,903",Harrison Park School,Harrison Park School,Madison High School,1960
6915 SE 156th Ave,$500000,4,2F11/2,2475,"$6,132",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2002
5180 N Amherst St,$879900,4,3F11/2,3059,"$2,697",Astor Elementary School,Astor Elementary School,Roosevelt High School,1911
239 SE 53rd Ave,$570000,4,2,3427,"$6,185",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1930
9735 N Edison St,$412500,3,1,887,"$2,596",Sitton Elementary School,George Middle School,Roosevelt High School,1960
9323 SW 51st Ave,$375000,3,1F11/2,1090,"$5,297",Markham Elementary School,Jackson Middle School,Wilson High School,1977
2010 NE 121st Ave,$399900,3,2,1872,"$4,165",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1954
7501 SE 152nd Ave,$750000,4,2F11/2,3619,"$8,290",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1989
13231 SE Buford Ct,$526900,4,2F11/2,2766,"$6,104",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,2007
3603 NE Grand Ave,$599000,4,2,2282,"$2,532",Sabin Elementary School,Harriet Tubman Middle School,Grant High School,1900
6220 SW Sheridan St,$985000,5,3F11/2,4559,"$15,356",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1997
8102 SW 61st Ave,$899980,5,4F11/2,4007,"$12,915",Maplewood Elementary School,Jackson Middle School,Wilson High School,2005
5262 SW Westwood,$1895000,5,4F11/2,5246,"$22,631",Rieke Elementary School,Gray Middle School,Wilson High School,2016
2110 SE 158th Ave,$347000,3,1F11/2,1272,"$3,542",Parklane Elementary School,Centennial Middle School,Centennial High School,1957
9919 NW Hoge Ave,$457500,4,1,1820,"$4,625",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1926
4334 NE Laurelhurst Pl,$765000,3,3,2590,"$9,762",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1922
2521 SW Hoffman Ave,$825000,3,4,3034,"$14,511",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1891
5824 SW Corbett Ave,$625000,3,2F11/2,2860,"$7,110",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1916
4615 NE 98th Ave,$374900,3,2,1374,"$2,136",Prescott Elementary School,Parkrose Middle School,Parkrose High School,1942
4244 SE Anderegg Loop,$429000,3,2,1834,"$4,892",Butler Creek Elementary School,Centennial Middle School,Centennial High School,1997
1724 SW Troy St,$539000,5,2,2252,"$4,903",Rieke Elementary School,Gray Middle School,Wilson High School,1959
4150 SE Milwaukie Ave,$359000,2,1,1160,"$2,334",Grout Elementary School,Hosford Middle School,Cleveland High School,1926
6424 SW Alfred St,$525000,4,2F11/2,2298,"$6,593",Markham Elementary School,Jackson Middle School,Wilson High School,1958
3131 NE 57th Ave,$445000,4,2,2088,"$4,674",Alameda Elementary School,Beaumont Middle School,Grant High School,1918
5305 SE 34th Ave,$649950,6,2F11/2,3425,"$6,578",Grout Elementary School,Hosford Middle School,Cleveland High School,1948
4221 NE 132nd Ave,$399000,3,2,1440,"$4,262",Shaver Elementary School,Parkrose Middle School,Parkrose High School,1967
2333 SE 98th Ave,$375000,3,2F11/2,1804,"$4,841",Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School,2002
6103 NW Cornell Rd,$1499000,4,3F11/2,5236,"$10,408",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1992
9620 NW Germantown Rd,$650000,4,3F11/2,2838,"$10,932",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1985
3017 SE Claybourne St,$1295000,4,2F11/2,4474,"$20,097",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1925
1870 SW Hawthorne Ter,$1075000,5,3,3556,"$18,234",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1929
8243 SE Pineridge Ct,$769995,5,3F11/2,4789,"$8,607",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,2007
2405 NE Saratoga St,$330000,3,2,1073,"$4,039",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1981
4522 SW Council Crest Dr,$1125000,5,3F11/2,4645,"$16,102",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2012
5525 SW Coronado St,$562000,4,2F11/2,2445,"$9,723",Markham Elementary School,Jackson Middle School,Wilson High School,1989
14841 NE Graham St,$267000,3,2,1471,"$4,109",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1985
664 NW Greenleaf Rd,$929900,3,3,3339,"$10,586",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1950
3546 NE 152nd Ave,$630000,3,2F11/2,2168,"$6,319",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1977
11512 SW Streamside Ct,$664900,5,2F11/2,2985,"$10,014",Stephenson Elementary School,Jackson Middle School,Wilson High School,1992
10610 SW Inverness Ct,$719990,3,3F11/2,3833,"$12,182",Stephenson Elementary School,Jackson Middle School,Wilson High School,1993
7007 SE 78th Ave,$375000,3,2F11/2,1352,"$4,068",Woodmere Elementary School,Lane Middle School,Franklin High School,1995
2204 NE 50th Ave,$785000,4,2F11/2,3344,"$7,507",Rose City Park,Roseway Heights School,Madison High School,1926
44 NE Lombard St,$386900,3,2,1219,"$2,387",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1951
4625 SW Flower Pl,$490000,3,2F11/2,1908,"$6,326",Hayhurst Elementary School,Gray Middle School,Wilson High School,1983
610 NE Cesar E Chavez Blvd,$799000,5,3F11/2,4682,"$12,527",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1913
3102 SE 171st Dr,$335000,3,1F11/2,1324,"$3,176",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1960
8917 N Dwight Ave,$284000,3,2F11/2,1460,"$3,993",Rosa Parks Elementary School,George Middle School,Roosevelt High School,2007
3961 N Vancouver Ave,$599900,3,1F11/2,1590,"$2,709",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1900
1519 SW Dolph St,$740000,4,3,3862,"$9,596",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,2017
2814 SE Market St,$499000,3,2,1544,"$6,521",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1926
7915 SW 19th Ave,$899900,3,3F11/2,2813,"$4,289",Rieke Elementary School,Gray Middle School,Wilson High School,1920
1744 NE Clackamas St,$874900,6,6,3780,"$10,290",Buckman Elementary School,Hosford Middle School,Cleveland High School,1908
2283 NW Pettygrove St,$929000,3,3F11/2,2098,"$15,646",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2002
1954 NW Overton St ,$890000,3,3F11/2,2020,"$12,946",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2003
9233 SE Harney Ct,$449950,3,2,2915,"$6,094",Kelly Elementary School,Lane Middle School,Franklin High School,1953
6825 SE 47th Ave,$250000,3,2,1200,"$3,027",Lewis Elementary School,Sellwood Middle School,Cleveland High School,1995
7214 SE 32nd Ave,$744000,3,2,2760,"$8,480",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1938
5654 N Omaha Ave,$400000,3,1,1142,"$2,487",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1950
3137 SE Yamhill St,$775000,4,3F11/2,3442,"$9,725",Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School,1909
7041 NE 22nd Ave,$595000,3,3,3514,"$7,400",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1953
3346 SW Multnomah Blvd,$389450,3,2F11/2,1594,"$6,843",Maplewood Elementary School,Jackson Middle School,Wilson High School,2014
12717 SE Gladstone St,$293500,3,1F11/2,936,"$2,921",Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School,1960
5408 NE Ainsworth St,$525000,4,3,2256,"$6,057",Rigler Elementary School,Beaumont Middle School,Madison High School,2005
9020 SE Duke St,$319900,2,1,720,"$2,828",Kelly Elementary School,Lane Middle School,Franklin High School,1950
2798 SW Talbot Rd,$1100000,4,3F11/2,4378,"$16,681",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1928
3335 NE 68th Ave,$530000,4,3,2427,"$5,434",Scott Elementary School,Roseway Heights School,Madison High School,1925
2426 NE 136th Ave,$349999,3,1F11/2,1859,"$3,990",Russell Elementary,Parkrose Middle School,Parkrose High School,1956
2021 SW Main St ,$335000,2,2,983,"$5,446",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1972
9131 SE Stephens St,$399000,4,1,2233,"$4,375",Harrison Park School,Harrison Park School,Madison High School,1953
2810 NE 35th Ave,$649900,4,2,2018,"$6,575",Beverly Cleary School,Beverly Cleary School,Grant High School,1926
3036 SE Cesar E Chavez Blvd,$414900,3,1,1633,"$2,390",Creston Elementary School,Creston Elementary School,Franklin High School,1910
3908 NE 8th Ave,$774000,4,4,2833,"$10,301",Sabin Elementary School,Harriet Tubman Middle School,Grant High School,2016
6815 N Portsmouth Ave,$629900,4,2F11/2,2210,"$4,017",Astor Elementary School,Astor Elementary School,Roosevelt High School,1998
3352 SW Spring Garden St,$800000,3,1,1334,"$7,712",Maplewood Elementary School,Jackson Middle School,Wilson High School,1921
4336 SW Pendleton St,$839000,4,2F11/2,3465,"$10,435",Hayhurst Elementary School,Gray Middle School,Wilson High School,2008
2114 N Farragut St,$374900,2,1F11/2,798,"$3,775",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1942
6970 SE 35th Ave,$1099900,4,3F11/2,3159,"$10,741",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1924
6980 SE 35th Ave,$1099900,4,3F11/2,3200,"$10,741",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1924
8815 NE Wasco St,$340000,3,2F11/2,1768,"$4,016",Lee Elementary School,Roseway Heights School,Madison High School,2008
8947 N Curtis Ave,$395000,3,1,976,"$2,937",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1955
968 N Kilpatrick St,$393900,3,2F11/2,1621,"$5,345",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,2011
3244 NE Us Grant Pl,$850000,3,2,2924,"$11,229",Beverly Cleary School,Beverly Cleary School,Grant High School,1932
3134 NE 76th Ave,$269000,1,1,600,"$2,203",Lee Elementary School,Roseway Heights School,Madison High School,1914
300 NW 8th Ave ,$349900,1,1,725,"$5,333",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1909
1908 NE Siskiyou St,$935000,5,2F11/2,4011,"$9,647",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1925
2732 SE 120th Ave,$354900,3,2,2102,"$3,241",Mill Park Elementary School,Ron Russell Middle School,David Douglas High School,1960
2835 NE 67th Ave,$425000,3,1,2190,"$4,543",Rose City Park,Roseway Heights School,Madison High School,1922
16950 SE Salmon St,$279900,4,1,1296,"$3,249",Alder Elementary School,Hauton B Lee Middle School,Reynolds High School,1961
4576 SW Comus Pl ,$199999,2,2,1058,"$3,226",Markham Elementary School,Jackson Middle School,Wilson High School,1979
1030 SE 60th Ave,$749899,5,3F11/2,2335,"$5,451",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1926
13115 SE Foster Rd ,$66000,3,2,1080,"$34,111",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1988
5627 SW Coronado St,$601900,4,2F11/2,2610,"$8,808",Markham Elementary School,Jackson Middle School,Wilson High School,1989
4056 SE Mall St,$479900,3,2F11/2,1620,"$6,177",Grout Elementary School,Hosford Middle School,Cleveland High School,1995
4116 N Borthwick Ave,$495000,2,1,1336,"$1,499",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1933
11316 NE Fargo St,$315000,3,2,1848,"$3,458",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1993
10204 NW Alder Grove Ln,$277900,2,2,1280,"$6,178",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1998
2224 SE 145th Ave,$330000,3,1F11/2,1200,"$3,210",Parklane Elementary School,Centennial Middle School,Centennial High School,1956
3935 SW Corbett Ave,$1000000,7,7,4811,"$9,970",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1893
4005 N Willamette Blvd,$670000,4,2,3226,"$9,507",Astor Elementary School,Astor Elementary School,Roosevelt High School,1943
9742 NW Skyline Heights Dr,$1115000,4,3F11/2,5057,"$18,770",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2003
4430 N Michigan Ave,$819900,4,3F11/2,2771,"$10,061",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,2016
3275 NE Bryce St,$1375000,5,3F11/2,3848,"$4,195",Alameda Elementary School,Beaumont Middle School,Grant High School,1910
12403 SW 55th Pl,$855000,4,2F11/2,3409,"$12,556",Markham Elementary School,Jackson Middle School,Wilson High School,1995
5400 NE 30th Ave ,$254900,1,1,594,"$5,018",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1946
10218 N Barr Ave,$607500,4,3,2669,"$4,971",Sitton Elementary School,George Middle School,Roosevelt High School,1927
9028 N Chautauqua Pl,$315000,3,1,858,"$2,648",Rosa Parks Elementary School,George Middle School,Roosevelt High School,1970
5308 SW Pomona St,$349999,3,2,1626,"$3,908",Markham Elementary School,Jackson Middle School,Wilson High School,1942
1806 SW Taylors Ferry Rd,$699800,5,3,2516,"$7,208",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1945
4821 SW Seymour Ct,$475000,3,2,1289,"$6,535",Bridlemile Elementary School,Gray Middle School,Wilson High School,1986
3011 SE 92nd Ave,$339900,3,2F11/2,1510,"$4,304",Harrison Park School,Harrison Park School,Madison High School,2004
1506 SW Broadway Dr,$459000,3,2F11/2,1775,"$7,349",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1964
6310 SE Windsor Ct,$699999,4,2F11/2,2243,"$3,133",Atkinson Elementary School,Mt Tabor Middle School,Franklin High School,1947
6613 SE 83rd Ave,$339900,3,2,1040,"$3,714",Woodmere Elementary School,Lane Middle School,Franklin High School,1977
2710 SE 138th Ave ,$139900,2,1,848,"$1,807",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1974
11827 NE San Rafael St,$269900,2,1,960,"$2,676",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1955
3039 NE 122nd Ave,$347900,3,1F11/2,1272,"$3,447",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1958
1214 SE 58th Ave,$1950000,6,4F21/2,6850,"$24,598",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1913
5950 SE Tibbetts St,$499000,2,1,1388,"$3,667",Atkinson Elementary School,Mt Tabor Middle School,Franklin High School,1953
1730 SW Harbor Way ,$297000,1,1,684,"$5,105",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1986
6247 SE Ogden St,$269900,3,2,1284,"$2,823",Woodmere Elementary School,Lane Middle School,Franklin High School,1945
3457 NE Davis St,$1080000,3,4,3005,"$11,058",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1931
9425 SW 51st Ave,$389000,3,2,1530,"$5,093",Markham Elementary School,Jackson Middle School,Wilson High School,1978
5403 N Harvard St,$675000,5,3,3792,"$6,809",Astor Elementary School,Astor Elementary School,Roosevelt High School,1953
2341 SE 170th Ave,$325000,3,2,1112,"$3,884",Patrick Lynch Elementary School,Centennial Middle School,Centennial High School,1982
10117 NW Wilark Ave,$399900,2,2,1446,"$3,541",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1921
5740 NW Skyline Blvd,$825000,3,3,3035,"$11,312",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1981
621 NW Skyline Blvd,$899950,3,3,3473,"$10,698",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1989
35 NE 55th Ave,$649900,4,3F11/2,2756,"$9,752",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1908
26 SE 69th Ave,$699900,3,2F11/2,2370,"$2,303",Vestal Elementary School,Roseway Heights School,Madison High School,1928
3939 N Marine Dr,$389000,2,2,1510,"$11,075",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1981
908 NW 25th Ave,$1249900,4,3F11/2,5861,"$14,187",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1908
1929 SW Carter Ln,$799000,2,2F11/2,2433,"$17,439",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1951
2796 SW Montgomery Dr,$1225000,5,5,3802,"$10,413",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1910
6444 NE Going St,$430000,3,2,1518,"$4,887",Scott Elementary School,Roseway Heights School,Madison High School,1942
418 N Bridgeton Rd,$459950,2,2F11/2,2304,"$7,494",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1997
133 SE 55th Ave,$1300000,4,5F11/2,3734,"$4,607",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1926
3409 NE Simpson St,$489000,3,2,1804,"$3,632",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1940
3641 SE Crystal Springs Blvd,$674900,4,3F11/2,2451,"$5,529",Duniway Elementary School,Sellwood Middle School,Cleveland High School,2007
14421 NW Springville Rd,$1490000,4,3F11/2,4797,"$9,489",Skyline Elementary School,Skyline Elementary School,Lincoln High School,2002
1503 N Hayden Island Dr,$155950,2,2,1440,$0,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1972
5316 SE 18th Ave,$399000,3,1,840,"$3,173",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,1954
4715 SE 94th Ave,$420000,7,3,2912,"$4,476",Lent Elementary School,Lent Elementary School,Franklin High School,1959
7325 SE Milwaukie Ave,$650000,2,2F11/2,2336,"$8,245",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,2003
2936 SE 18th Ave,$599900,3,3,2620,"$6,760",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1912
3515 SW Shattuck Rd,$939000,4,3,3534,"$12,549",Bridlemile Elementary School,Gray Middle School,Wilson High School,1958
12308 SE Long St,$249900,2,1F11/2,1324,"$2,077",Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School,2004
10435 SE Oak St,$310000,3,2,1591,"$3,494",Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School,2004
9608 N Oregonian Ave,$299900,3,1F21/2,1164,"$3,011",James John Elementary School,George Middle School,Roosevelt High School,2004
12029 SW Lesser Rd,$549900,4,2,2423,"$5,258",Markham Elementary School,Jackson Middle School,Wilson High School,1942
2702 SE 138th Ave ,$145900,1,1,720,"$1,564",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1974
4043 NE 80th Ave,$389900,3,1,1868,"$4,344",Scott Elementary School,Roseway Heights School,Madison High School,1928
