Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
2424 SW Montgomery Dr,$4985000,7,5F31/2,14335,"$83,454",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1918
13616 NW Glendoveer Dr,$1899000,4,4F31/2,7038,"$29,831",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1999
1903 SE 29th Ave,$1175000,4,3F11/2,2740,"$11,233",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1915
23586 NW St. Helens Rd,$359000,2,2,1300,"$4,356",Grant Watts Elementary School,Scappoose Middle School,Scappoose High School,1997
11355 SW Northgate Ct,$1775000,5,5F11/2,6772,"$30,145",Riverdale Grade School,Riverdale Grade School,Riverdale High School,1991
2323 SW Park Pl ,$230000,2,2,1210,"$298,407",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1960
3932 SE 16th Ave,$338500,3,2,1230,"$5,366",Grout Elementary School,Hosford Middle School,Cleveland High School,1995
3932 SE Gladstone St,$449900,2,1,1782,"$4,288",Grout Elementary School,Hosford Middle School,Cleveland High School,1909
12113 SE Foster Rd,$825000,5,2,4848,$0,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1930
11010 SW Tryon Ave,$1599000,4,4F11/2,4644,"$15,674",Riverdale Grade School,Riverdale Grade School,Riverdale High School,1994
905 N Harbour Dr ,$499000,4,4,2664,"$8,026",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,2000
4341 NE 92nd Ave,$360000,3,2,1919,"$4,280",Russell Elementary,Parkrose Middle School,Parkrose High School,1925
7704 NW Skyline Blvd,$399000,2,1,936,"$4,738",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1941
1610 NW Mayfield Rd,$650000,3,2F11/2,2306,"$9,789",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1993
807 N Alberta St,$599999,4,2F11/2,2730,"$5,320",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1910
8308 SE Hawthorne Blvd,$289900,2,1F11/2,878,"$2,604",Harrison Park School,Harrison Park School,Madison High School,1912
1503 NE Schuyler St,$1750000,8,9F11/2,9212,"$24,078",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1906
4932 SW Slavin Rd,$419900,3,2F11/2,2252,"$7,051",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,2005
2243 NE 11th Ave,$1052000,6,3F11/2,4091,"$9,434",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1906
620 N Hayden Bay Dr,$439900,3,1F11/2,1816,"$6,765",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1971
5045 SE Ramona St,$774900,4,3F11/2,2533,"$6,370",Woodstock Elementary School,Hosford Middle School,Cleveland High School,1915
4642 NE Sumner St,$474000,1,1,1532,"$3,930",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1926
3146 SW Fairmount Blvd,$1425000,5,4F11/2,5188,"$22,484",Rieke Elementary School,Gray Middle School,Wilson High School,2006
5015 SW Dosch Rd,$850000,6,3,3802,"$9,244",Bridlemile Elementary School,Gray Middle School,Wilson High School,1907
8270 SW 8th Ave,$789900,4,3,2621,"$3,809",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1949
5114 NE 109th Ave,$235000,2,1,727,"$1,310",Shaver Elementary School,Parkrose Middle School,Parkrose High School,1947
2744 SW Sherwood Dr,$1300000,4,3,5882,"$19,417",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1948
921 SW Davenport St,$1449000,4,3F11/2,3950,"$25,734",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1964
11325 NW Laidlaw Rd,$649000,3,1,2575,"$6,264",Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School,1932
7240 NW Summitview Dr,$1125000,6,4F11/2,5536,"$13,046",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1997
2351 SE 156th Ave,$315000,2,1,1436,"$4,549",Parklane Elementary School,Centennial Middle School,Centennial High School,1900
534 NE 67th Ave,$474950,5,2,2123,"$3,449",Vestal Elementary School,Roseway Heights School,Madison High School,1908
1815 SW Montgomery Dr,$2095000,4,3F11/2,6174,"$34,829",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1914
720 NW Warrenton Ter,$1495000,4,3F11/2,5248,"$23,675",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1930
6822 N Interstate Ave,$324900,2,1,750,"$2,400",Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools,1926
14616 NW Rock Creek Rd,$690000,4,3,2329,"$5,567",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1993
2524 NW Skyline Blvd,$1599000,3,4,4625,"$23,710",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1995
16501 SE Powell Blvd,$349000,3,1,960,"$3,136",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1925
14025 NW Charlton Rd,$1295000,6,4,4673,"$7,336",Sauvie Island Academy,Sauvie Island Academy,Scappoose High School,1975
1822 NE 47th Ave,$623900,4,3,3144,"$5,719",Rose City Park,Roseway Heights School,Madison High School,1919
7701 SE 162nd Ave,$799900,3,3F11/2,3468,"$15,080",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,1935
9025 NE Sandy Blvd,$998999,2,1,834,"$1,952",Russell Elementary,Parkrose Middle School,Parkrose High School,1925
3638 NE 158th Ave,$249900,3,2F11/2,1286,"$3,438",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,2003
