Street,Price,Beds,Baths,Square Footage
6065 SW Taylor St,$625000,4,3,2236
12834 NW Alsace Ln,$559950,4,2F11/2,2554
7604 SW 35th Ave,$495000,2,1,1690
3708 SW Patton Rd,$389000,2,1,2465
7604 SW 35th Ave,$795000,2,1,1680
31 NE 43rd Ave,$750000,6,3F11/2,3130
1920 SW River Dr #E102,$975000,2,3,2491
12633 SE Bush St #12,$279900,3,2F11/2,1448
16159 NW Pristine Ln,$469995,3,2F11/2,1925
16135 NW Pristine Ln,$471995,3,2F11/2,1925
3601 SW River Pkwy #1404,$340000,1,1,782
7035 SE Nehalem St,$329900,2,1,816
1150 NW NW Quimby St #512,$530500,1,1,928
5904 NE Sandy Blvd,$655000,2,1,2264
4900 SW Boundary St,$399000,3,1,1396
839 SW Broadway Dr #76,$275000,2,1,875
12829 SE Madison St,$457000,4,2,2224
1857 N Jantzen,$425000,2,2,1435
6543 SE Hazel St,$320000,3,1,1032
9015 SW 19th Aly,$949000,10,4F21/2,5120
1926 W Burnside St #1104,$320000,1,1,698
4609 NE 118th Ave,$245000,3,2F11/2,1376
4801 NW Blandy Ter,$375000,2,2F11/2,1486
7808 SW Skyhar Dr,$499950,3,2F11/2,2495
43 SE 89th Ave,$289000,2,1,1196
6045 NE Flanders St,$725000,2,4,2387
2050 N Killingsworth St #4,$269900,1,1,703
414 N Bridgeton Rd,$458400,2,2F11/2,2344
2050 N Killingsworth St #9,$319900,1,1,700
1826 NE Highland St,$899000,4,2F11/2,2846
15621 NW Wismer Dr,$469900,3,2F11/2,1776
8441 SW 10th Ave,$419900,2,1F11/2,1250
1500 SW 5th Ave #1501,$575000,2,2,1319
311 NW 12th Ave #704,$1299000,2,2F11/2,2117
1924 SE 11th Ave #6,$325000,2,1,747
337 N Ivy St,$375000,3,2,1279
12253 SE Long St,$254950,2,2F11/2,1860
806 NW 118th Ave #102,$324900,2,2F11/2,1051
9221 N Lombard St #14,$194900,2,1,731
2340 N Winchell St,$434900,3,1F11/2,1028
110 SE 73rd Ave,$282000,2,1,762
875 N Watts St,$399900,2,1F11/2,976
4923 SW Lowell St,$689000,3,3,2366
11038 SE SE Main St,$515000,6,3,3364
9719 NW Silver Ridge Loop,$382900,2,2,1419
725 NW Flanders St #205,$435000,1,1,1093
3440 NE 63rd Ave,$589950,4,2F11/2,3058
9595 SW Washington St,$585000,5,3,2682
15424 SE Tibbetts St,$399000,2,2,1128
4206 NE 132nd Ave,$359900,3,1F11/2,1386
6560 SE 57th Ave,$494950,4,3F11/2,1874
12620 NE Morris St,$385000,3,1F11/2,1638
2950 SE 92nd Ave,$329900,3,2F11/2,1775
2974 NW Kennedy Ct #1,$335000,3,2,1659
5254 SE 74th Ave,$275000,1,1,588
19245 NE Hassalo St,$372000,4,2,2054
2775 SW 107th Ave,$449000,4,2F21/2,4225
608 NE 118th Ave,$565000,10,4F41/2,3400
1900 SW River Dr #N604,$779000,2,2,1647
2944 SE 92nd Ave,$329900,3,2F11/2,1775
5160 NW Neakahnie Ave #34,$220000,2,1F11/2,788
12227 SW Lesser Rd,$440000,3,2,2348
1841 SE 130th Ave,$369900,3,2F11/2,1337
6453 NW Mcgregor Ter,$409000,3,2F11/2,1504
15156 NW Delia St,$675000,4,2F11/2,3128
4743 NE 107th Ave,$369900,3,1F11/2,2376
255 SW Harrison St #14B,$259800,1,1,731
6625 SE Duke St,$348000,3,2,2053
7739 SW 10th Ave,$599000,3,2F11/2,2182
8205 N Woolsey Ave,$385000,3,1F11/2,2172
320 SE 126th Ave,$309900,2,1,940
