Street,Price,Beds,Baths,Square Footage
1920 SW River Dr #E901,$1200000,2,2F11/2,2039
6613 SE 83rd Ave,$339900,3,2,1040
2710 SE 138th Ave #46,$139900,2,1,848
11827 NE San Rafael St,$269900,2,1,960
3570 SW River Pkwy #1903,$715900,1,2,1248
3039 NE 122nd Ave,$347900,3,1F11/2,1272
14207 SE Pine Ct,$429900,5,2F11/2,2346
1214 SE 58th Ave,$1950000,6,4F21/2,6850
2221 SW 1st Ave #726,$335000,2,1,912
14601 SW 152nd Ave,$725000,4,3,3280
5950 SE Tibbetts St,$499000,2,1,1388
5922 SE 138th Pl,$479000,4,2F11/2,1965
4005 NE Rodney Ave,$595000,3,3F11/2,1591
1730 SW Harbor Way #305,$317960,1,1,920
416 NW 13th Ave #413,$1049000,1,2,1598
5624 SW Riverside Ln #13,$320900,2,2,1170
1455 N Killingsworth St #307,$299977,1,1,617
12281 NW Fernleaf Ln #L117,$903995,5,4,3783
12257 NW Fernleaf Ln #L118,$974995,5,4,4105
6247 SE Ogden St,$269900,3,2,1284
2106 N Liberty St,$399995,3,1,2083
12308 NW Fernleaf Ln #L109,$852995,4,3F11/2,3679
3457 NE Davis St,$1080000,3,4,3005
9425 SW 51st Ave,$389000,3,2,1530
5403 N Harvard St,$675000,5,3,3792
2341 SE 170th Ave,$325000,3,2,1112
10117 NW Wilark Ave,$399900,2,2,1446
5740 NW Skyline Blvd,$825000,3,3,3035
12271 NW Ashbrook Dr #L226,$908995,6,4,3631
621 NW Skyline Blvd,$899950,3,3,3473
610 SW Nevada St #H,$357500,2,2F11/2,1314
12130 NW Fernleaf Ln #L230,$910495,4,4F11/2,3790
35 NE 55th Ave,$649900,4,3F11/2,2756
1310 NW Naito Pkwy #709A,$474800,1,1F11/2,849
26 SE 69th Ave,$699900,3,2F11/2,2370
2770 NE Weidler St,$699900,3,3F11/2,2426
2760 NE Weidler St,$699900,3,3F11/2,2426
4150 NE Cleveland Ave,$749900,3,3F11/2,2458
5914 SE 138th Pl,$479000,4,2F11/2,1965
8530 N Ida Ave,$417000,3,1F11/2,1048
3939 N Marine Dr,$389000,2,2,1510
908 NW 25th Ave,$1249900,4,3F11/2,5861
1929 SW Carter Ln,$799000,2,2F11/2,2433
111 SW Harrison St #12C,$249000,1,1,606
2796 SW Montgomery Dr,$1225000,5,5,3802
4880 SW Scholls Ferry Rd #33,$574900,3,3,2715
6444 NE Going St,$430000,3,2,1518
1722 SW Custer St,$729900,5,3F11/2,2928
7176 N Vancouver Ave,$589000,3,2F11/2,1507
7152 N Vancouver Ave,$589000,3,2F11/2,1523
7168 N Vancouver Ave,$589000,3,2F11/2,1509
7184 N Vancouver Ave,$589000,3,2F11/2,1509
418 N Bridgeton Rd,$469950,2,2F11/2,2304
5637 SW 87th Ave #Lt 13,$1275000,4,3F11/2,3515
133 SE 55th Ave,$1300000,4,5F11/2,3734
3409 NE Simpson St,$489000,3,2,1804
15185 NW Olive St,$504990,3,2F11/2,1744
3641 SE Crystal Springs Blvd,$674900,4,3F11/2,2451
3645 SE Crystal Springs Blvd,$674900,4,3F11/2,2415
4611 NW 130th Ave,$925000,5,3F11/2,3866
14421 NW Springville Rd,$1490000,4,3F11/2,4797
333 NW 9th Ave #514,$425000,1,1,999
1503 N Hayden Island Dr,$155950,2,2,1440
5975 N Michigan Ave,$499900,3,3F11/2,1483
36 NE 172nd Ave,$299000,4,1F11/2,1381
3015 SW 107th Ave,$975000,4,3F11/2,3085
5316 SE 18th Ave,$399000,3,1,840
4715 SE 94th Ave,$430000,7,3,2912
9601 NW Leahy Rd #309,$409000,4,2,1617
7325 SE Milwaukie Ave,$650000,2,2F11/2,2336
1314 NW Irving St #408,$746000,1,1,1635
15211 NW Aberdeen Dr,$760000,3,3,3302
5983 N Michigan Ave,$499900,3,3F11/2,1483
3042 NW Parkhurst Ter,$699900,6,4,3005
1993 SW Abercrombie Pl,$774900,4,3F11/2,3461
2936 SE 18th Ave,$599900,3,3,2620
5971 N Michigan Ave,$499900,3,3F11/2,1508
5979 N Michigan Ave,$499900,3,3F11/2,1508
3515 SW Shattuck Rd,$939000,4,3,3534
838 SE 38th Ave #301,$375000,1,1F11/2,822
5991 N Michigan Ave,$499900,3,2F11/2,1403
12308 SE Long St,$249900,2,1F11/2,1324
10435 SE Oak St,$310000,3,2,1591
1500 SW 11th Ave #2701,$3200000,3,2F11/2,2920
1320 SW Highland Pkwy,$1085000,5,5,5160
9608 N Oregonian Ave,$299900,3,1F21/2,1164
6260 SW Arrow Wood Ln,$695000,3,2F11/2,3271
1314 NW Irving St #608,$729000,1,1,1635
12029 SW Lesser Rd,$549900,4,2,2423
2702 SE 138th Ave #18,$145900,1,1,720
4043 NE 80th Ave,$389900,3,1,1868
3025 SE Cesar E Chavez Blvd,$365000,3,1,2132
2339 NW Miller Rd #34,$429900,2,2F11/2,1562
515 NW 114th Ave,$619000,4,3,2688
6312 NE 11th Ave,$639900,5,3F11/2,2535
6318 NE 11th Ave,$634900,5,3F11/2,2555
8524 SW 10th Ave,$425900,3,2,1290
12604 NW Barnes Rd #4,$159900,2,1,812
3969 N Overlook Ter,$1199000,3,3,3372
3224 SE 153rd Ave,$225000,2,2,1506
2732 SE 138th Ave #103,$153900,2,1,844
14805 NW Deerfoot Ln,$565000,4,3,2390
3205 NE 75th Ave,$594900,5,2,2194
1804 SW Miles St,$400000,3,1,960
5011 SW Orchid St,$445000,3,2,1680
4505 NE 25th Ave,$849999,5,3,2751
5674 NE 15th Ave,$759000,3,2F11/2,2484
15710 NW Brugger Rd,$397995,3,2F11/2,1862
2565 NE 33rd Ave,$599999,3,2,2732
411 NE 43rd Ave,$1050000,4,3F11/2,3188
3827 SW Dolph Ct,$575000,4,3,2610
8130 SE 75th Pl,$325000,3,1,946
3012 SE 138th Ave,$339000,2,2,1732
5987 N Michigan Ave,$499900,3,3F11/2,1513
1209 SW 6th Ave #504,$499000,2,1,1140
12878 NW Milazzo Ln,$560000,3,2F11/2,2216
8697 SE Washington St,$725000,6,3F11/2,2289
8543 SW Jamieson Rd,$1290000,11,4F61/2,5820
9312 NW Murdock St,$930000,5,3F11/2,4374
922 NW 11th Ave #1203,$985000,2,2F11/2,1462
2737 SE 87th Ave,$295000,3,2,1134
7018 N Hodge Ave,$649900,4,2F11/2,2287
3477 N Gantenbein Ave,$724950,4,4F11/2,2733
6303 SE Woodstock Blvd #2,$274950,2,1,878
4075 SE Woodward St,$874950,4,3F11/2,2950
1926 W Burnside St #401,$519900,2,2,1331
4104 SE Ash St,$750000,5,2,4040
4438 SW Hamilton Ter,$1095000,4,2F11/2,3791
11606 NE Sandy Blvd,$849900,6,2F21/2,2964
7186 NW Elise Ave #L51,$369990,3,3F11/2,1625
7022 SE 84th Ave,$450000,3,2,1930
707 N Hayden Island Dr #425,$645000,2,2,2180
14715 SE Market Ct,$329169,2,1,1716
14312 NE Knott St,$379900,3,2,2602
4532 SE 28th Ave,$435000,3,2F11/2,1336
13508 NW Springville Rd,$849900,3,2,4397
7655 NE Alameda St,$699000,2,2,3520
6317 SE 92nd Ave #B,$214900,1,1,390
6317 SE 92nd Ave #A,$314900,3,2F11/2,1634
420 NW 11th Ave #920,$499000,1,1,943
707 N Hayden Island Dr #316,$450000,2,2,1798
707 N Hayden Island Dr #408,$475000,2,2,2113
1900 SW River Dr #N110,$670000,2,3,1895
16110 NW Reliance Ln,$419995,3,2F11/2,1763
3327 SW Water Ave,$395000,2,1,2044
2300 SW 103rd Ave,$3750000,6,7,14500
6546 SW Virginia Ave,$575000,3,3F11/2,2162
1009 NW Hoyt St #206,$405000,1,1,847
3618 NE 154th Ave,$240000,3,2F11/2,1512
925 NE 74th Ave,$469900,4,2,2578
15330 SE Yamhill St,$317000,3,1F11/2,1244
10527 SE Raymond St,$297500,3,1F11/2,1580
14915 NE Sacramento St #14,$230000,2,2,1128
1514 NE Highland St,$450000,4,1F11/2,1881
4900 NE 18th Ave,$849900,4,2,4800
3617 SW Vesta St,$349000,3,2F11/2,1702
725 NW NW Flanders St #403,$1495000,2,2F11/2,2050
814 SE Sherrett St,$449900,3,1,1794
1813 N Colfax St,$489900,3,2F11/2,1635
10396 NW Forestview Way,$392900,2,3F11/2,1954
4708 NE 60th Ave,$399000,3,2F11/2,1456
3316 SE 23rd Ave,$950000,7,2,4094
472 N Hayden Island Dr #104,$200000,2,1F11/2,1184
5031 SE Kelly St,$375000,2,1,1450
14335 SW 164th Ave,$1150000,6,4F11/2,4655
4216 N Mississippi Ave #307,$354950,1,1,727
2470 NW Thurman St,$995000,2,2F11/2,1983
3724 SE 148th Ave,$369900,4,2F11/2,1411
1568 NE 74th Ave,$499000,3,2F11/2,1837
2419 NW Birkendene St,$769000,4,2F11/2,3557
15490 NW Tee Ct,$410000,2,2F11/2,1834
255 SW Harrison St #2G,$217500,1,1,583
3601 SW River Pkwy #1708,$789000,2,2,1827
3601 SW River Pkwy #407,$825000,2,2F11/2,1901
3136 SE SE 7th Ave,$447000,3,2,2264
737 NE 99th Ave #21,$159000,1,1,510
10428 NE Pacific St,$349950,3,1,1314
11339 NW Elise Ln,$634990,3,2F11/2,2815
635 NW Lost Springs Ter #302,$319500,2,2,1092
10450 SW 53rd Ave,$739000,5,3,3959
6427 SE 134th Ave,$357900,4,3,1400
15038 NW Aberdeen Dr,$459000,2,2F11/2,1783
7625 N Van Houten Ave,$399500,3,1,1646
730 NW Naito Pkwy #E7,$229900,1,1,722
3312 SE 165th Pl,$309900,3,2,1080
220 N Hayden Bay Dr,$444000,2,2F11/2,2091
2131 NE Saratoga St,$475000,3,2,1704
4040 N Montana Ave #1,$299900,2,1,837
225 SE 126th Ave #5,$170000,2,1F11/2,755
5825 SW 59th Ct,$499000,3,2F11/2,1881
333 NW 9th Ave #709,$437000,1,1,982
10045 N Mohawk Ave,$325000,4,2,1840
636 NW Albemarle Ter,$1900000,4,2F11/2,4801
7621 SE Crystal Springs Blvd,$356900,3,2F11/2,1416
414 N Rosa Parks Way,$399900,2,1,1392
12415 NE Brazee St,$375000,3,3,2365
5369 NW Roanoke Ln,$1995000,5,5F11/2,5494
1627 SW Montgomery St,$575000,2,2F11/2,2188
4023 SE 65th Ave,$375000,3,1,1741
5787 SW Clay Ct,$775000,4,3F11/2,2815
1125 NW 9th Ave #211,$319990,1,1,692
7325 SE 22nd Ave,$575000,3,2,2213
8243 NE Wygant St,$344900,3,1,1064
4406 NE 13th Ave,$699000,4,2,2520
7909 SW Cedarcrest St,$439900,4,2,2120
2305 SW Greenwood Rd,$1595000,4,2F11/2,3746
9001 N Trumbull Ave,$548000,2,1,1719
416 NW 13th Ave #603,$644100,1,2,1254
4344 SW Hillside Dr,$890000,4,3F11/2,3910
6247 SE Yamhill St,$850000,3,3F11/2,2998
2328 SE 139th Ave,$399900,4,2F11/2,2036
235 NE 84th Ave,$455000,3,1,2493
5321 NE 13th Ave,$450000,3,2,2474
2818 NE 15th Ave,$824000,5,2F11/2,3980
108 NE Bridgeton Rd,$199990,3,3F11/2,2495
222 N Hayden Bay Dr,$389900,3,2,2015
4190 SE Knapp St,$750000,4,2F11/2,2885
2775 NW Upshur St #D,$468000,3,2,1342
5515 SW 63rd Ave,$1150000,4,3F11/2,3707
3611 SW Condor Ave,$525000,3,1F21/2,2286
2738 SE 138th Ave #118,$125000,2,1,814
7424 SE Ogden St,$370000,3,1F11/2,1254
3829 SE 149th Ave,$347000,3,1,1508
6241 SE 142nd Ave,$225000,3,2,1269
12638 NW Lovejoy,$749990,4,3F11/2,3427
2727 SW English Ln,$910000,3,2F11/2,2770
6446 NE 36th Ave,$799900,4,2F11/2,3224
5396 NW Wahkeena Ln,$442000,4,2F11/2,1849
1609 SE Umatilla St,$749000,4,3,2398
5950 SW Riveridge Ln,$464000,2,2F11/2,1286
333 NW 9th Ave #1213,$429990,1,1,998
420 NW 11th Ave #705,$435000,1,1,856
4804 NE 106th Ave,$410000,3,2F11/2,2791
16184 NW Ryegrass St,$534900,5,3,2374
16677 NW Stoller Dr,$508900,4,2F11/2,2070
3744 SE Steele St,$429900,3,2,1132
820 NW 12th Ave #606,$760000,2,2,1202
1224 NE 81st Ave,$549900,3,2,1569
1005 SW Park Ave #604,$179900,1,1,448
4205 SE 80th Ave,$379900,3,2F11/2,1714
4209 SE 80th Ave,$379900,3,2F11/2,1714
4215 SE 80th Ave,$379900,3,2F11/2,1714
1319 NE 126th Ave,$329000,3,2,1983
4355 SW Laurelwood Ave,$930000,3,3,3215
333 NW 9th Ave #1004,$749900,1,2,1563
14150 E Burnside St #3,$214900,3,2,1162
4219 SE 80th Ave,$379900,3,2F11/2,1714
1831 N Jantzen Ave,$5000,1,1,1100
8320 SW 33rd Ave,$550000,3,3,2128
8579 SW 71st Ter,$746900,5,3F11/2,4310
1535 SW Clay St #209,$349900,2,1F11/2,899
4222 N Kerby Ave,$669900,5,3F11/2,2378
7931 SW 40th Ave #H,$220000,2,2,893
4224 N Kerby Ave,$669900,5,3F11/2,2378
300 NW 8th Ave #1002,$1300000,2,2,1898
456 NW Skyline Blvd,$974900,4,5,4248
703 NE Killingsworth St,$389000,2,1,1562
9908 SE Mount Scott Blvd,$499000,4,1F11/2,3725
11002 SW Southridge Dr,$536900,3,2F11/2,2240
14489 SE Knight St,$420000,4,2F11/2,1877
14489 SE Knight St #B,$422000,4,2F11/2,1851
1422 SE 51st Ave,$609900,4,3,2430
3640 SW Dosch - Private Lane,$1599000,6,4F11/2,5814
3103 SW Collins Ct,$1200000,4,3F11/2,4164
3410 SE 119th Ave,$320000,2,1,1288
1233 N Winchell St,$475000,3,2,1536
7655 SE Sherman Ct,$449000,2,1F11/2,1533
1710 SW Harbor Way #C407,$345000,1,1,819
7010 SW Brier Pl,$550000,5,2,2866
1130 NW 12th Ave #408,$659000,2,2,1286
9240 N Mohawk Ave,$450000,4,2F11/2,1692
345 N Lotus Beach Dr,$749900,2,2F11/2,3060
9726 NW Sunrise Ln,$1599900,6,4F21/2,6451
6685 W Burnside Rd #338,$375000,2,2F11/2,1431
3326 N Farragut St,$485000,3,3,2379
1500 SW 5th Ave #1705,$540000,2,2,1319
3825 SE Center St,$429900,3,1,1330
1500 SW 5th Ave #2305,$508000,2,2,1319
2109 NW Irving St #106,$314100,2,1,792
10071 NW Wilshire Ln,$335000,2,2,1529
3019 N Hunt St,$639900,3,2F11/2,2480
11421 SE Market St,$225000,3,2,1257
1500 SW Skyline Blvd #15,$269000,2,2,1103
2933 SE 136th Ave,$299000,3,2,1778
2719 N Farragut St,$469500,4,2,2593
9837 NE Irving St #301,$149900,2,1,759
5944 SW View Point Ter,$439000,3,2,1056
12316 NW Hiller Ln,$731995,4,3F11/2,2600
10832 NE Siskiyou St,$417000,4,3,2525
700 SW 48th Dr,$1440000,3,3F11/2,3752
1926 W Burnside St #1216,$599900,2,1F11/2,1182
6449 NE 33rd Ave,$449900,5,2,2518
4444 SW Ormandy Way,$1179000,5,3F11/2,3010
1500 SW 11th Ave #1001,$569000,2,2,1004
3804 SE 27th Ave,$459900,3,1,1010
1828 SE Main St,$875000,5,4F11/2,3655
15733 SE Hawk Ct,$425000,4,3,2340
6035 SE Tenino St,$299000,2,1,1188
1930 SW River Dr #W304,$729000,2,2,1500
2004 NW Norfolk Ct,$649000,4,2F11/2,3323
4225 SE 28th Ave,$639900,4,2F11/2,2624
5615 NE 35th Ave,$639900,4,2F11/2,2978
1830 NW Riverscape St #503,$750000,2,2F11/2,1473
9297 NW Fullner Ct,$1150000,5,4,4724
5400 NE Rodney Ave,$974900,7,3F21/2,5147
2341 SE 154th Ave,$425000,3,2,1704
1525 NW 123rd Ave,$477000,3,3,2006
125 NE 80th Ave,$350000,2,1F11/2,1904
841 SW Gaines St #612,$539000,1,1F11/2,1061
10224 N Tioga Ave,$309900,3,1,1099
1680 SW Montgomery Dr,$2799000,3,2F21/2,4664
13705 NE Halsey St,$349800,2,1,1251
5252 NE 27th Ave,$460000,4,2,2520
6753 SE 134th Ave,$349900,3,2,1432
3908 SE Nehalem St,$674900,4,3F11/2,2353
2896 SE Division St #1,$499000,3,2F11/2,1448
6317 SE 92nd Ave #A,$314900,3,2F11/2,1634
6317 SE 92nd Ave #B,$214900,1,1,390
6355 N Greeley Ave,$399900,4,2,1929
3173 SE 79th Ave,$459000,3,2F11/2,1652
2461 NE Sumner St,$699900,4,3F11/2,2642
5207 NE 25th Ave,$674900,4,3F11/2,2462
410 NW 18th Ave #103,$499999,3,1,1209
11390 SW Foothill Dr,$554999,3,2,2160
7049 SE 35th Ave,$725000,4,1F11/2,2660
133 SE 55th Ave #A,$874900,5,3,2942
4255 SE 117th Ave,$599000,6,3,2918
1026 NE 109th Ave,$359000,2,1,1172
4165 SE 37th Ave,$425000,3,2F11/2,1582
2835 SE Carlton St,$1549950,5,4F11/2,5215
4915 N Interstate Ave,$499900,4,1F11/2,2690
707 N Hayden Island Dr #226,$387500,2,2,1798
17624 NE Couch St,$335000,4,1,1540
615 NE 81st Ave,$359900,3,1,1718
10605 SE Clinton St,$339900,3,2,1789
6209 SW Tower Way,$795000,5,3,3764
2215 NW Edgewood Pl,$389000,2,2F11/2,1367
1132 SW 19th Ave #308,$495000,2,2,977
1821 NE 25th Ave,$419000,2,2,1015
8216 N Chautauqua Blvd,$629900,5,3F11/2,2585
1702 SE 59th Ave,$699950,3,2,2642
6255 SW Tower Way,$749900,4,2F21/2,3562
446 N Hayden Island Dr,$179888,1,1,608
15481 NW Troon Dr,$539000,2,2F21/2,1432
136 NE 117th Ave,$489000,4,2,2548
5720 SE Jenne Rd,$389000,3,2,1496
824 NE 198th Ave,$363999,3,2,1581
46 NE 148th Ave,$395000,3,1,1094
1326 NE 155th Ave,$249900,2,1,768
11938 SW 60th Ave,$1099000,4,3F11/2,3393
8023 SW Ruby Ter,$620000,5,2F11/2,3410
651 SE 148th Ave #2,$179900,3,1,1322
5225 NE Garfield Ave,$625000,5,2,3411
3237 SE 179th Ave,$347000,3,2,2160
5212 NE 62nd Ave,$475000,4,2,1668
1420 NW Lovejoy St #415,$335000,1,1,718
9845 NW Silver Ridge Loop,$387000,2,2F11/2,1523
2333 NE Multnomah St,$739900,3,2F11/2,2993
9643 NW Silver Ridge Loop,$378000,3,2,1350
1150 NW Quimby St #906,$1084500,2,2F11/2,1612
11421 SE Salmon St,$399900,5,1F11/2,2662
2021 SW Main St #25,$238700,1,1,646
2737 SW English Ct,$1250000,5,3F11/2,4191
14377 SE Knight St #A,$420000,4,2F11/2,1922
333 NW 9th Ave #712,$675000,1,2,1401
1500 SW 5th Ave #101,$339900,1,1,1085
3814 SE Martins St,$1229000,5,1F11/2,4956
1911 SE 97th Ave,$375000,4,1F11/2,2368
1135 SE 80th Ave,$950000,2,1,1263
3062 NW Montara Loop,$599000,2,2,1563
2322 SW Sheffield Ave,$1200000,3,3F11/2,3316
7731 SE Tolman St,$399900,3,1,1664
5715 N Greeley Ave #F,$399900,2,2,1055
5715 N Greeley Ave #B,$359900,2,2,1055
5715 N Greeley Ave #A,$379900,2,2,1055
5715 N Greeley Ave #C,$399900,2,2,1055
9421 E Burnside St,$524800,2,1,1443
10549 NW Skyline Blvd,$449500,3,3,1312
11620 SW Lynnridge Ave,$1599999,4,3F11/2,4055
10632 SE Cora St,$279900,3,1,960
3707 SW Baird St,$649950,4,3,2970
17615 NW Country Dr,$549000,4,2F11/2,2572
7221 N Catlin Ave,$358000,2,1,1658
9715 NW Newton Rd,$950000,5,4,4110
1930 SW River Dr #W101,$385000,1,1,804
395 NW Brynwood Ln,$3250000,4,3,3850
220 SE 132nd Ave,$349900,3,2,1554
4569 NE 84th Ave,$464000,4,2F11/2,1806
1415 NE 21st Ave #10,$279900,2,1,964
1631 NW Everett St #403,$267500,1,1,506
2405 SW Burbank Ave,$580000,3,3,2123
3125 NE Cesar E Chavez Blvd,$799900,2,2F11/2,1770
6415 N Burrage Ave,$495000,4,2,1890
420 NW 11th Ave #509,$399900,1,1,854
6224 SE Harney St,$449900,5,4,2115
4630 SW Water Ave,$565000,3,2,2522
111 SW Harrison St #19B,$274950,1,1,742
11719 SE Boise St,$279900,2,2,702
7245 SW Aloma Way,$600000,5,2F11/2,3265
5862 SW Ralston Dr,$750000,4,2F11/2,2859
9575 NW Harvest Hill Dr,$569900,4,3,2351
9737 SW Taylor St,$719500,4,3,2448
8325 SE 64th Ave #A,$429900,2,1F11/2,1549
8325 SE 64th Ave #B,$349900,2,1F11/2,893
3718 SW Hillside Dr,$1334999,4,3F11/2,4448
11033 NW Rainmont Rd,$899950,4,3,3000
841 SW Gaines St #101,$975000,2,2F11/2,2142
2726 SW 28th Dr,$707900,4,3F11/2,4713
14302 SE Main St,$345000,4,1,1460
7475 SW 82nd Ave,$349500,3,2,1602
7125 N Albina Ave,$349100,2,1F21/2,1596
1314 NW Irving St #501-2,$1295000,3,2,2404
8034 SE 42nd Ave,$479900,4,2,1536
11520 SE Harold St,$279900,2,1,720
2817 NW Kennedy Ct #51,$325000,2,2,1522
2309 SW 1st Ave #1041,$397500,2,2,1254
3553 SE Long St,$754900,4,3F11/2,2860
6234 SE 103rd Ave,$210000,3,1,1098
7936 SE 64th Ave,$374999,4,2,1264
1535 SW Clay St #240,$275000,1,1,885
6922 SE Clatsop St,$529000,4,3F11/2,1884
2002 SW Dolph Ct,$599000,3,2F11/2,3395
2805 SE Hawthorne Blvd #C,$395000,2,2,1753
2805 SE Hawthorne Blvd #A,$339000,3,1,910
2813 SE Hawthorne Blvd,$395000,2,2F11/2,1107
3636 NE 149th Ave,$375000,4,2F11/2,2221
9911 SE Cambridge Ln,$1475000,5,2F11/2,4043
224 NE 182nd Pl,$319000,3,1F11/2,1392
5467 N Cecelia St,$448650,3,3,1479
1030 NW 12th Ave #508,$499900,1,2,1085
3165 NE Multnomah St,$599900,3,2F11/2,1998
2649 NW Kennedy Ct,$393000,3,3,1675
1616 SW Harbor Way #302,$339490,1,1,834
3179 SE 79th Ave,$439000,2,2F11/2,1365
12383 NW Hiller Ln #L97,$966995,4,3F11/2,3811
15706 NW Clubhouse Dr,$400000,2,2F11/2,1651
14918 SE Main St,$290000,3,2,1180
3478 NW 147th Pl,$794900,5,3,3142
4307 NE Grand Ave,$749900,4,3F11/2,2322
465 NE Skidmore St,$739900,4,3F11/2,2328
8973 SE Harney Ct,$414900,4,2F11/2,1758
2325 NE Flanders St #6,$399500,2,1,963
331 SE 62nd Ave,$699000,3,1F11/2,2314
6807 SE Morrison St,$899900,5,3,3600
2343 NE 11th Ave,$629000,3,2,2812
5555 NW 132nd Ave,$829900,5,3,3502
7456 N Stockton,$549900,3,2F11/2,1693
7460 N Stockton Ave,$564900,3,2F11/2,1802
17448 NE Glisan St #5,$58500,2,2,1152
2837 SE 133rd Ave,$347000,3,2,1296
12055 NW Hibbard Dr #Lot13,$599950,3,2F11/2,2251
280 NE 60th Ave #21,$236900,1,1,634
15050 NW Aberdeen Dr,$432000,2,2F11/2,1800
227 SW Florida St,$955000,4,3F11/2,4297
7567 N Edgewater Ave,$235000,2,2,1170
1025 SW Bertha Blvd #3,$200000,2,1,1001
1150 NW Quimby St #2010,$1448000,2,2F11/2,1671
910 NW Naito Pkwy #I-4,$269900,1,1,690
1829 NW Lovejoy St #301,$215000,1,1,491
949 NW Overton St #815,$525000,1,1,1026
7656 NW Kaiser Rd,$519990,3,2F11/2,1744
7668 NW Kaiser Rd,$539990,4,2F11/2,1837
3855 SE 149th Ave,$390000,3,3,2856
1616 NW Northrup St,$999999,6,4,2884
10627 NE Fargo St,$339999,4,3,2520
2524 NE 63rd Ave,$750000,5,2F11/2,2291
4892 NW Olivares Ter,$353900,3,2F11/2,1476
10095 NW Jack Ln #85,$345000,2,2F11/2,1565
8110 SW 6th Ave,$870000,4,4,4520
2896 SW Patton Rd,$3850000,5,5F11/2,8155
9149 NW Mckenna Dr,$875000,5,4F11/2,4698
12336 NE Brazee St,$364900,4,1F11/2,2618
309 N Bridgeton Rd #B,$254000,2,1,720
13610 SE Steele St,$252500,2,2F11/2,2324
11200 SW Lynnridge Ave,$870000,4,3F11/2,3826
12292 NW Hiller Ln #L92,$868995,5,3F11/2,3239
7816 SW 5th Ave,$439900,3,1,2212
9327 SE Alder St,$339000,2,1,786
21254 NW Cannes Dr,$499900,5,3,2268
6855 NE Morris St,$570000,4,3,3232
10707 SW Riverside Dr,$1599500,4,4F11/2,4000
12329 NW Fernleaf Ln #L115,$829995,4,2F11/2,2866
5916 SW Knightsbridge Dr,$615000,3,2F11/2,3024
15225 NW Olive St #L59,$486990,4,2F11/2,1642
3629 SE Crystal Springs Blvd,$674900,4,2,3086
11301 SW Military Rd,$1350000,5,2F11/2,3709
1104 SW Columbia St #206,$229900,1,1,504
9233 SE Gladstone St,$319900,3,2,920
9438 N Gilbert Ave,$375000,3,1F11/2,1256
4933 N Haight Ave,$350000,4,1,2292
3631 N Vancouver Ave,$410000,3,2,1195
533 NE Holladay St #509,$219950,1,1,736
5256 NE Couch St #4,$699999,3,3F11/2,2184
1784 SE Brooklyn St,$679900,3,2F21/2,1940
12149 NW Hiller Ln #L122,$810695,5,3,2998
5264 NE Couch St #5,$699999,3,3F11/2,2184
5280 NE Couch St #7,$699999,3,3F11/2,2102
3570 SW River Pkwy #807,$399900,1,1,889
2309 SW 1st Ave #1741,$699000,2,2F11/2,2508
7297 SW Arranmore Way,$875000,4,3,5224
9180 N Polk Ave,$448900,4,2F11/2,1822
1630 SW Harbor Way #D401,$479500,2,2,1134
416 NW 13th Ave #201,$399000,1,1,740
1234 SW 57th Ave,$1290000,5,4,3700
2325 NE Flanders St #1,$425000,2,1,963
4518 N Fessenden St,$450000,3,2F11/2,2214
3385 NE 7th Ave,$749900,4,3F11/2,2787
680 NE Ivy St,$719900,4,3F11/2,2787
5925 N Delaware Ave,$549000,5,3,2762
1535 SW Clay St #202,$260000,1,1,773
9034 SE 78th Pl,$89900,3,2,1344
5781 SW Clay Ct,$750000,3,3F11/2,2815
7480 SE Rhone St,$599900,4,2F11/2,2493
10334 NW Engleman St,$900000,6,3F11/2,4481
1500 SW 5th Ave #1001,$450000,2,2,1319
5241 SW Humphrey Blvd,$595000,5,3,3930
315 SW Troy St,$529000,4,3,2888
2719 N Hunt St,$459900,3,2F11/2,1675
11737 SW 35th Ave,$419950,3,2F11/2,2000
8675 N Burrage Ave,$459900,3,2F11/2,1670
416 NW 13th Ave #101,$349000,1,1,725
10436 SE Reedway St,$300000,3,1,2040
3315 N Russet St,$350000,5,4,2224
3087 NW 123rd Pl,$889498,3,3F11/2,3961
3507 SE Bybee Blvd,$924000,4,3,3165
16612 NW Covic Ln,$729950,4,3,2838
2909 SW Upper Dr,$499000,3,2,2175
1130 NW 12th Ave #308,$649900,2,2,1286
323 NW 13th Ave #406,$489000,1,1,784
3138 N Arlington Pl,$439000,4,2,1822
601 SE 156th Ave,$349999,3,1F11/2,1590
12756 NW Ethan Dr,$622000,4,3,3269
3056 SW Fairmount Blvd,$725000,3,3,2918
3592 NE Simpson St,$629900,3,2F11/2,1728
2109 NW Irving St #104,$222000,1,1,500
1716 NW Riverscape St,$987000,2,2F11/2,2151
13245 NE Sacramento Dr,$480000,4,2,2388
8980 NW Cornell Rd,$698000,3,3,2988
6330 SE Dunbar Dr,$555000,3,3F11/2,3923
11830 NW Holly Springs Ln #406,$279900,2,2,939
300 NW 8th Ave #305,$349900,1,1,725
333 NW 9th Ave #906,$1295000,3,2,2037
411 NW Flanders St #412,$259900,1,1,590
5535 SW Hewett Blvd,$1935000,5,4,5278
6645 W Burnside Rd #541,$299900,2,2,1097
6255 SW Sheridan St,$1325000,4,2F11/2,4268
2585 SE 14th Ave,$324900,1,1,673
4380 SW 75th Ave,$998000,5,3F11/2,3876
